r0_Lp,period_Lp,tau0_over_period,tau0_Lp,rho_req_mean,negative_amp,positive_amp,min_sampled_avg,mean_sampled_avg,max_sampled_avg,QI_bound,violates_at_min,geometry_window_ratio_at_tau0_0p1r0
1000000000.0,10.0,0.005,0.05,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-3.0074751725542933e-18,9.589688439180485e-21,2.239920533685327e-18,-1519.8177546350664,False,418879020478639.06
1000000000.0,10.0,0.02,0.2,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-2.3982230574723523e-18,-3.867446121564734e-21,1.9267262040852922e-18,-5.936788104043228,False,418879020478639.06
1000000000.0,10.0,0.1,1.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-7.572755524801936e-19,1.132956101503521e-20,8.396623091908138e-19,-0.009498860966469166,False,418879020478639.06
1000000000.0,10.0,0.5,5.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-1.102806733508976e-20,2.7668366355082893e-20,6.886236876370818e-20,-1.5198177546350666e-05,False,418879020478639.06
1000000000.0,10.0,1.0,10.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,2.659262943660988e-20,2.8328980479358446e-20,3.012788616229634e-20,-9.498860966469166e-07,False,418879020478639.06
1000000000.0,10.0,5.0,50.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,2.736434761126222e-20,2.7390106493936344e-20,2.739928759659221e-20,-1.5198177546350666e-09,False,418879020478639.06
1000000000.0,10.0,10.0,100.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,2.6763645180855787e-20,2.6796653316931025e-20,2.6817650204745973e-20,-9.498860966469166e-11,False,418879020478639.06
1000000000.0,100.0,0.005,0.5,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-3.007582695568388e-18,6.0992413493401594e-21,2.237800832049604e-18,-0.15198177546350666,False,418879020478639.06
1000000000.0,100.0,0.02,2.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-2.3986520695911633e-18,-8.708838078824944e-21,1.91902997862351e-18,-0.0005936788104043229,False,418879020478639.06
1000000000.0,100.0,0.1,10.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-7.592760445601303e-19,6.6575712010161294e-21,8.279920605627163e-19,-9.498860966469166e-07,False,418879020478639.06
1000000000.0,100.0,0.5,50.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,-1.526033796328524e-20,2.304357566398937e-20,6.380668327430017e-20,-1.5198177546350666e-09,False,418879020478639.06
1000000000.0,100.0,1.0,100.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,2.213780633979299e-20,2.3842999773462845e-20,2.562127773156889e-20,-9.498860966469166e-11,False,418879020478639.06
1000000000.0,100.0,5.0,500.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,2.3847752665802502e-20,2.3894558178805644e-20,2.3941720788160667e-20,-1.5198177546350666e-13,False,418879020478639.06
1000000000.0,100.0,10.0,1000.0,-3.978873577297383e-20,-3.1830988618379066e-18,2.3873241463784298e-18,2.3829104003229064e-20,2.391007167639687e-20,2.3991418506200546e-20,-9.498860966469166e-15,False,418879020478639.06
1000000000000.0,1.0,0.005,0.005,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,-3.0078369584791113e-24,-5.728151499969829e-27,2.2391387292265246e-24,-15198177.546350665,False,4.188790204786392e+20
1000000000000.0,1.0,0.02,0.02,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,-2.3996487521685385e-24,-9.363293442793073e-27,1.9237069151081026e-24,-59367.88104043229,False,4.188790204786392e+20
1000000000000.0,1.0,0.1,0.1,-3.978873577297384e-26,-3.183098861837907e-24,2.3873241463784304e-24,-7.624517610803903e-25,6.609100245581596e-27,8.315691045568753e-25,-94.98860966469165,False,4.188790204786392e+20
