phase,region,points,rho_euler_min,rho_euler_max,rho_euler_mean,rho_euler_max_abs,j_l_unit_min,j_l_unit_max,j_l_unit_mean,j_l_unit_max_abs,p_l_unit_min,p_l_unit_max,p_l_unit_mean,p_l_unit_max_abs,p_omega_unit_min,p_omega_unit_max,p_omega_unit_mean,p_omega_unit_max_abs,rho_packet_min,rho_packet_max,rho_packet_mean,rho_packet_max_abs,Tkk_plus_min,Tkk_plus_max,Tkk_plus_mean,Tkk_plus_max_abs,Tkk_minus_min,Tkk_minus_max,Tkk_minus_mean,Tkk_minus_max_abs,ricci_scalar_min,ricci_scalar_max,ricci_scalar_mean,ricci_scalar_max_abs,cond_metric_min,cond_metric_max,cond_metric_mean,cond_metric_max_abs,rho_euler_negative_point_sum,rho_packet_negative_point_sum,Tkk_plus_negative_point_sum,Tkk_minus_negative_point_sum
reset_tail,packet_outer,1.0,-0.0041145665427512685,-0.0041145665427512685,-0.0041145665427512685,0.0041145665427512685,0.00013058962697724347,0.00013058962697724347,0.00013058962697724347,0.00013058962697724347,-0.004082498834734231,-0.004082498834734231,-0.004082498834734231,0.004082498834734231,0.006110352180014495,0.006110352180014495,0.006110352180014495,0.006110352180014495,-0.007018735925291889,-0.007018735925291889,-0.007018735925291889,0.007018735925291889,-0.008465956170697191,-0.008465956170697191,-0.008465956170697191,0.008465956170697191,-0.007943134242702318,-0.007943134242702318,-0.007943134242702318,0.007943134242702318,-0.307945747223108,-0.307945747223108,-0.307945747223108,0.307945747223108,4.000838859750522,4.000838859750522,4.000838859750522,4.000838859750522,-0.0041145665427512685,-0.007018735925291889,-0.008465956170697191,-0.007943134242702318
reset_tail,support_edge,3.0,-0.012845519170159516,-0.0050433892168689435,-0.007965028355630835,0.012845519170159516,-0.03420538972629672,0.03438129419382099,-0.001811969393578074,0.03438129419382099,-0.012740337547486715,-0.010154006539040288,-0.011402026013360643,0.012740337547486715,-0.520998359390537,0.002386755309514884,-0.34617004991145645,0.520998359390537,-0.05570502014001735,0.033329753149513204,-0.011792937621871329,0.05570502014001735,-0.0993673153137727,0.058881325781616804,-0.017501720672096373,0.0993673153137727,-0.10024732322315841,0.059390269653127256,-0.02525895946220412,0.10024732322315841,-0.1876164946874488,26.32639664112471,17.486785747482802,26.32639664112471,2.0017764073875326,3.350443201436775,2.5690611055834633,3.350443201436775,-0.023895085066892502,-0.06870856601512719,-0.11138648779790591,-0.13516714803973962
shift_fade,core_throat,5.0,0.02085728928518111,0.025302772401294662,0.023585388973954475,0.025302772401294662,-1.9202330315308015e-07,2.555022486064234e-07,2.3113963022362936e-08,2.555022486064234e-07,-0.02530285214933974,-0.020857366657396313,-0.023585483032542008,0.02530285214933974,1.403576624630638e-07,6.335266432071303e-06,3.831527473164065e-06,6.335266432071303e-06,0.020857243456593275,0.025302771655144416,0.02358538427938956,0.025302771655144416,-0.11949499064763544,0.05267929259549236,-0.032769852825898074,0.11949499064763544,-0.0960692664232076,0.08806779805704448,-0.01328710740571144,0.0960692664232076,1.048091938357787,1.271851016106749,1.1853407320229628,1.271851016106749,194824.92715837387,401223.72930044885,283750.66838977387,401223.72930044885,0.0,0.0,-0.21652855672498275,-0.15450333508560168
shift_fade,outer_shoulder,6.0,-0.02270114518303847,-0.0018707966926822073,-0.008896499159760327,0.02270114518303847,-7.319909612418831e-07,0.0004935266592890273,8.435648191610723e-05,0.0004935266592890273,-0.02038585434331181,-0.001893252041414513,-0.0082645573620662,0.02038585434331181,0.002349234469889203,0.327899155448018,0.11160994577405381,0.327899155448018,-0.03746304607575045,-0.0031272250168390375,-0.0146956766547947,0.03746304607575045,-0.04663343039048558,-0.0037644246655617808,-0.018468912367471942,0.04663343039048558,-0.04657582836920587,-0.003764409177930449,-0.018106463171421353,0.04657582836920587,-16.540198849027163,-0.11752103783112623,-5.626010198974824,16.540198849027163,3.749841074029959,5.764997109186122,4.835079834178456,5.764997109186122,-0.05337899495856196,-0.0881740599287682,-0.11081347420483165,-0.10863877902852812
shift_fade,packet_in_support,2.0,0.014637460679524412,0.020857331556501983,0.0177473961180132,0.020857331556501983,6.348883476241682e-09,5.497720889999348e-07,2.780604862380882e-07,5.497720889999348e-07,-0.020857366260246344,-0.014639104114471578,-0.017748235187358963,0.020857366260246344,-4.9398307004892146e-06,2.016843126499836e-07,-2.3690731939196156e-06,4.9398307004892146e-06,0.014637357802337143,0.02085733113122025,0.017747344466778697,0.02085733113122025,-0.347285670804417,-0.0178079232702031,-0.18254679703731005,0.347285670804417,-0.06881000656415143,-0.008267252203791582,-0.038538629383971505,0.06881000656415143,0.7360486336857317,1.048394573145273,0.8922216034155024,1.048394573145273,71152.6157060501,330115.9146335922,200634.26516982116,330115.9146335922,0.0,0.0,-0.3650935940746201,-0.07707725876794301
shift_fade,support_edge,5.0,-0.040657577553757054,0.01709040011916065,-0.005866134205178301,0.040657577553757054,-0.002585902685628377,1.1105741447948676e-08,-0.0005299806875885663,0.002585902685628377,-0.050577666613357844,-0.01463882638421348,-0.02961342477536228,0.050577666613357844,-8.236318051652346e-06,0.5084818304289456,0.190705987274001,0.5084818304289456,-0.05349786528919795,0.017090404472806336,-0.011389046462128122,0.05349786528919795,-0.49045175407391045,0.1186586377875058,-0.2179560937341535,0.49045175407391045,-0.5037963560790457,-0.026909263343880174,-0.2836585929735953,0.5037963560790457,-25.30976549312576,0.8590724631770266,-8.98909394544194,25.30976549312576,2.8654755422055858,256915.7857227265,105226.02404510128,256915.7857227265,-0.07814920170996655,-0.10576380223410584,-1.2084391064582733,-1.4182929648679765
throat_relax,core_throat,3.0,0.02066644109872007,0.02504923907671003,0.02290786566279641,0.02504923907671003,-0.0025971050961695477,0.003507663575671315,0.0005471816296731056,0.003507663575671315,-0.025312960036105298,-0.020838329427849175,-0.023127532515415355,0.025312960036105298,-0.0328787491190528,-0.031435798349231076,-0.032320442207217914,0.0328787491190528,0.018542192085539037,0.024581859716546146,0.022563554830782682,0.024581859716546146,-0.4556147906938313,0.3100843404485645,-0.08428886925868656,0.4556147906938313,-0.33795594023963965,0.43381992379154743,0.056797928829519694,0.43381992379154743,2.623264233102428,2.9184063114370877,2.7815983763709227,2.9184063114370877,108.82037830502587,132.1675420833311,120.77109839000845,132.1675420833311,0.0,0.0,-0.5629509482246242,-0.33795594023963965
throat_relax,outer_shoulder,2.0,-0.002512713851862406,-0.001870671459226249,-0.0021916926555443274,0.002512713851862406,-3.4274252626430466e-06,1.8122841719494943e-08,-1.704651210461776e-06,3.4274252626430466e-06,-0.002628835015684807,-0.0018782954339052488,-0.002253565224795028,0.002628835015684807,0.002032987143772209,0.004548467823844927,0.003290727483808568,0.004548467823844927,-0.004220596829449304,-0.003120325410277571,-0.0036704611198634376,0.004220596829449304,-0.005137995621427354,-0.00374912763918132,-0.004443561630304337,0.005137995621427354,-0.0051517127016409035,-0.00374905515290325,-0.004450383927272076,0.0051517127016409035,-0.2257124844401484,-0.10199746649412933,-0.16385497546713887,0.2257124844401484,4.9848461577349115,5.764999018504829,5.374922588119871,5.764999018504829,-0.004383385311088655,-0.007340922239726875,-0.008887123260608674,-0.008900767854544153
throat_relax,packet_in_support,1.0,0.014123428030662665,0.014123428030662665,0.014123428030662665,0.014123428030662665,0.005302153018789,0.005302153018789,0.005302153018789,0.005302153018789,-0.014947618671890834,-0.014947618671890834,-0.014947618671890834,0.014947618671890834,-0.03896453802425712,-0.03896453802425712,-0.03896453802425712,0.03896453802425712,0.010901777210748193,0.010901777210748193,0.010901777210748193,0.010901777210748193,-0.619243797738714,-0.619243797738714,-0.619243797738714,0.619243797738714,0.5302338648869873,0.5302338648869873,0.5302338648869873,0.5302338648869873,2.689206400222691,2.689206400222691,2.689206400222691,2.689206400222691,58.18651949263489,58.18651949263489,58.18651949263489,58.18651949263489,0.0,0.0,-0.619243797738714,0.0
throat_relax,packet_outer,1.0,-0.010295853225524516,-0.010295853225524516,-0.010295853225524516,0.010295853225524516,0.0024269262336763563,0.0024269262336763563,0.0024269262336763563,0.0024269262336763563,-0.009451202705921627,-0.009451202705921627,-0.009451202705921627,0.009451202705921627,0.10183042244364386,0.10183042244364386,0.10183042244364386,0.10183042244364386,-0.01991964657668102,-0.01991964657668102,-0.01991964657668102,0.01991964657668102,-0.025227917027429148,-0.025227917027429148,-0.025227917027429148,0.025227917027429148,-0.015280915133726066,-0.015280915133726066,-0.015280915133726066,0.015280915133726066,-5.139783693414668,-5.139783693414668,-5.139783693414668,5.139783693414668,3.919616859794622,3.919616859794622,3.919616859794622,3.919616859794622,-0.010295853225524516,-0.01991964657668102,-0.025227917027429148,-0.015280915133726066
throat_relax,support_edge,2.0,-0.08132509215125859,0.01693463710564951,-0.03219522752280454,0.08132509215125859,-0.04802520681090169,-0.004198490590377591,-0.02611184870063964,0.04802520681090169,-0.06529375886369103,-0.01705830290009722,-0.04117603088189412,0.06529375886369103,-0.02773981937457616,0.480615646019885,0.22643791332265442,0.480615646019885,-0.06523423572977818,0.019357512837433984,-0.0229383614461721,0.06523423572977818,-0.09117421246495377,0.5521325542971474,0.2304791709160968,0.5521325542971474,-0.5686369302555879,-0.4235340039026118,-0.49608546707909984,0.5686369302555879,-24.56128867192499,2.248691173208303,-11.156298749358344,24.56128867192499,1.9478068939348607,87.39292549548671,44.67036619471079,87.39292549548671,-0.08132509215125859,-0.06523423572977818,-0.09117421246495377,-0.9921709341581997
