t,phase,core_line_target_Tkk,core_line_nmc_feature_Tkk,core_line_rank1_scalar_Tkk,core_line_feature_residual_Tkk,access_mean_target_Tkk,access_mean_nmc_feature_Tkk,access_mean_rank1_scalar_Tkk,access_mean_feature_residual_Tkk,support_mean_target_Tkk,support_mean_nmc_feature_Tkk,support_mean_rank1_scalar_Tkk,support_mean_feature_residual_Tkk,support_ring_mean_target_Tkk,support_ring_mean_nmc_feature_Tkk,support_ring_mean_rank1_scalar_Tkk,support_ring_mean_feature_residual_Tkk,shoulder_mean_target_Tkk,shoulder_mean_nmc_feature_Tkk,shoulder_mean_rank1_scalar_Tkk,shoulder_mean_feature_residual_Tkk
128.375,B_setup,-4.866926565191644e-06,-3.7264504639727697e-06,-1.0768733336963535e-07,-1.1404761012188745e-06,1.9957438718416016e-05,-2.733917455509732e-06,-2.7354911303403536e-08,2.2691356173925748e-05,0.00048004873229055026,-1.584811098181011e-05,-0.0002157001599748784,0.0004958968432723604,0.0006406757500518554,-2.385885112480765e-05,-0.0040968335176144585,0.0006645346011766631,0.0006053457334190105,0.0003890495975635081,-1319277.7115047558,0.0002162961358555024
130.0,B_setup,-4.82705344416896e-06,-2.75865068282604e-06,-7.971975975635409e-08,-2.06840276134292e-06,1.4791177970996792e-05,-2.1141137989577335e-06,-2.285688269677781e-08,1.6905291769954526e-05,0.00039346530779397457,-1.2022006459360393e-05,-0.00015985985434713556,0.00040548731425333495,0.0004895862430248111,-1.8093962653665242e-05,-0.0030506324022719082,0.0005076802056784764,0.0005043505659201186,0.00032753252913724575,-1102645.290859886,0.00017681803678287284
131.625,B_setup,-4.7927257252325714e-06,-1.987792620210631e-06,-5.7443427366557486e-08,-2.8049331050219404e-06,9.91975294508745e-06,-1.5993562071277584e-06,-1.866522832273077e-08,1.1519109152215208e-05,0.0003119242273628972,-8.909886855984121e-06,-0.00011534069144101109,0.00032083411421888135,0.00034715945452321316,-1.3400160634210171e-05,-0.0022131762331837057,0.00036055961515742336,0.00040927360161712806,0.0002710387032041319,-903051.2756848546,0.00013823489841299617
133.25,B_setup,-4.763559129856802e-06,-1.3872809953445176e-06,-4.0089783150845064e-08,-3.376278134512284e-06,5.367876622815708e-06,-1.1792005099972978e-06,-1.484665054752655e-08,6.547077132813006e-06,0.00023582203608682464,-6.426102960879374e-06,-8.062134478401503e-05,0.00024224813904770402,0.0002141121826847645,-9.651846943383244e-06,-0.0015570111267879262,0.00022376402962814775,0.00032058038132857413,0.00021987313980518136,-722488.1056923622,0.00010070724152339277
134.875,B_setup,-4.739172948405088e-06,-9.316783225285275e-07,-2.692373213635379e-08,-3.8074946258765608e-06,1.1586707674786854e-06,-8.431964282347903e-07,-1.1451637977758583e-08,2.0018671957134757e-06,0.0001655290628724471,-4.487559600392728e-06,-5.424578372925793e-05,0.00017001662247283984,9.111459008195222e-05,-6.726052675354851e-06,-0.0010557881608827078,9.784064275730707e-05,0.00023870355147568388,0.00017426105778638466,-562426.8946295667,6.444249368929922e-05
136.5,B_setup,-4.719185336130671e-06,-5.969106945352339e-07,-1.724958417554923e-08,-4.122274641595437e-06,-2.686415765341241e-06,-5.809718999665819e-07,-8.514050749516592e-09,-2.105443865374659e-06,0.00010138792410525164,-3.0143588637785095e-06,-3.483505436587198e-05,0.00010440228296903015,-2.1212245800048348e-05,-4.503576754373588e-06,-0.0006844764168251466,-1.670866904567476e-05,0.00016404098362359537,0.00013433975559960063,-423790.8130792474,2.970122802399474e-05
138.125,B_setup,-4.703208623748767e-06,-3.6048017367320146e-07,-1.0417191644110106e-08,-4.342728450075565e-06,-6.147681006611733e-06,-3.8232548732983177e-07,-6.050847665362839e-09,-5.765355519281901e-06,4.3712155297165085e-05,-1.930475138036652e-06,-2.1099449848723023e-05,4.564263043520174e-05,-0.00012229855590096378,-2.870213066604759e-06,-0.0004195839061397827,-0.00011942834283435903,9.69540535219963e-05,0.00010015084799404457,-306931.7232998707,-3.196794472048263e-06
139.75,B_setup,-4.69084464555599e-06,-2.016820640766946e-07,-5.82822819701398e-09,-4.489162581479295e-06,-9.207235721315056e-06,-2.373266527842667e-07,-4.061973030467976e-09,-8.96990906853079e-06,-7.215022139395137e-06,-1.164458701699738e-06,-1.1850972238125069e-05,-6.050563437695399e-06,-0.00021162786381265293,-1.718054319522728e-06,-0.0002393846940400889,-0.0002099098094931302,3.7766093007966153e-05,7.163313545684688e-05,-211611.16078669266,-3.386704244888073e-05
141.375,B_setup,-4.6816801051374766e-06,-1.0182442619896757e-07,-2.94253232003736e-09,-4.579855678938509e-06,-1.1849060804777793e-05,-1.3642338044608424e-07,-2.53042459063496e-09,-1.1712637424331709e-05,-5.114179301227293e-05,-6.501620981688624e-07,-6.015935797784297e-06,-5.049163091410407e-05,-0.00028873872064082384,-9.468548255557936e-07,-0.00012414959973078223,-0.00028779186581526803,-1.32389720895735e-05,4.86164338623105e-05,-136986.99277900995,-6.1855405951884e-05
143.0,B_setup,-4.675282017883281e-06,-4.444610741254584e-08,-1.2844079995670143e-09,-4.630835910470735e-06,-1.4059056025288694e-05,-7.055622925721464e-08,-1.422527813250037e-09,-1.398849979603148e-05,-8.784869467944421e-05,-3.2748042626959606e-07,-2.6474995627207238e-06,-8.752121425317461e-05,-0.0003532261832674296,-4.6542738879494726e-07,-5.637673964299996e-05,-0.00035276075587863467,-5.581778516024541e-05,3.0816745646662956e-05,-81607.3361854093,-8.663453080690837e-05
144.625,B_setup,-4.671193293192428e-06,-1.552829867340458e-08,-4.487383079616511e-10,-4.655664994519023e-06,-1.5825080040112388e-05,-3.1277434919279275e-08,-6.884456883751791e-10,-1.5793802605193108e-05,-0.00011714941433401543,-1.430930128822476e-07,-9.378456048612304e-07,-0.00011700632132113319,-0.0004047430321851763,-1.9304147014793166e-07,-2.10168821874709e-05,-0.00040454999071502833,-8.976851058325546e-05,1.783320861309176e-05,-43413.57527521575,-0.00010760171919634721
146.25,B_setup,-4.66892854547418e-06,-3.6931979037908606e-09,-1.0672639760293865e-10,-4.665235347570389e-06,-1.713698175912138e-05,-1.0873121779547901e-08,-2.629569737064411e-10,-1.712610863734183e-05,-0.0001388914355672724,-5.118966666785346e-08,-2.2964535904341949e-07,-0.00013884024590060453,-0.00044300072888475494,-6.07809292143604e-08,-5.687118194030735e-06,-0.00044293994795554056,-0.00011493156196477547,9.147310635584281e-06,-19754.566200291392,-0.00012407887260035974
147.875,B_setup,-4.6679702530621456e-06,-3.817972965962663e-10,-1.103321596669337e-11,-4.667588455765549e-06,-2.583495331170782e-05,-2.4739341214343755e-07,-104.1680882053502,-2.5587559899564382e-05,-0.00019694280282462633,-1.055385010402682e-05,-2371.1502326245172,-0.00018638895272059952,-0.0005665398735813849,-3.908695930448391e-05,-6240.548415359243,-0.000527452914276901,-0.00016283157410479677,-2.3248938697800732e-05,-8211.519646003588,-0.00013958263540699603
149.5,B_setup,-4.667765417694757e-06,-1.17165038414664e-12,-3.385846846400023e-14,-4.667764246044373e-06,-0.00013913396650328433,1.2592280950334529e-05,-4813.180741549416,-0.00015172624745361885,-0.0006299663948096194,-0.0007530181002258342,-60159.64545373324,0.0001230517054162148,-0.0014300184168287156,-0.00135123270492296,-146533.55047868247,-7.878571190575554e-05,-0.0004101688879782115,-0.0004101282684674851,-21432.47174079582,-4.0619510726389117e-08
151.125,R_open,-9.879227871423257e-05,-1.2754676779659795e-05,-3952.9697558150756,-8.603760193457277e-05,-0.0006537956096030079,-0.0001980662088136631,-57833.29123993443,-0.00045572940078934484,-0.0017245833747892884,-0.0015531722784705685,-217413.84985144698,-0.00017141109631871993,-0.0030621673792146954,-0.0031989580278302277,-346285.8632207571,0.0001367906486155323,-0.0007045115274900934,-0.0007046153080684926,-53798.576315159895,1.0378057839922211e-07
152.75,R_open,-0.0007120398349080084,-0.0002971388987176732,-92090.22699660258,-0.0004149009361903352,-0.001370683522716757,-0.0007563033710460644,-174181.98472199918,-0.0006143801516706926,-0.002050666301168622,-0.0017937991902792336,-114392.09752616087,-0.00025686711088938863,-0.0025686878439003832,-0.0019075520531217215,163673.1476937811,-0.0006611357907786617,-0.0003640542467387021,0.0012853291552154178,-3856.0510933262735,-0.0016493834019541199
154.375,R_open,-0.0011781387191331164,-0.0008223812600286302,-254875.00034704854,-0.00035575745910448615,-0.0013506620800075623,-0.0013119052766593202,-256560.18070294405,-3.875680334824213e-05,-0.001146858398922477,-0.001534073407866605,85719.89544339104,0.000387215008944128,-0.000674209320336396,0.0005371699005255397,725573.3191626988,-0.0012113792208619358,9.243488542185856e-05,0.0018314501168728583,52512.04015001819,-0.0017390152314509996
156.0,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011154175947991132,-0.0011659385045170144,-205844.9041329561,5.052090971790113e-05,-0.0007682871965372662,-0.0007830619523225608,181815.29408156945,1.477475578529465e-05,-0.00029809383464519593,0.0015257772382246567,762246.5786360664,-0.0018238710728698526,8.36452348068105e-05,0.0009690293697950719,50972.6087390856,-0.0008853841349882614
157.625,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011412051237621734,-0.0011436501023693202,-200659.34608311206,2.4449786071468072e-06,-0.0009362374890542048,-0.0011069017597465168,94915.91753805589,0.00017066427069231194,-0.000670864366581886,-8.194769893949045e-05,483562.6755217938,-0.0005889166676423956,-3.6976350212972174e-05,-0.0004363565062567021,13402.707941894008,0.00039938015604372993
159.25,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
160.875,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
162.5,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
164.125,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
165.75,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
167.375,hold,-0.0011972828703221278,-0.0008887455678386346,-275442.83645693015,-0.0003085373024834931,-0.0011427704182284115,-0.0011449350253242585,-201205.87087594424,2.16460709584693e-06,-0.000944197759013403,-0.001164736619201361,81933.26808298423,0.0002205388601879579,-0.0006876671849809692,-0.0003011330060145471,448717.8718873056,-0.00038653417896642215,-4.2178785010376874e-05,-0.0005911452764690144,8777.869696130098,0.0005489664914586376
