name,r_mode,x_catch,x_beta,x_q,w_catch,w_beta,w_q,p_beta,packet_fail_slices,edge_fail_slices,release_fail_slices,max_packet_norm,max_edge_gtt,max_release_packet_norm,max_packet_rho,max_edge_rho,max_release_rho,max_packet_j,max_edge_j,max_release_j,max_packet_R3,max_packet_K,clear,raw_source_cost,resolution,relative_source_cost,selection_score
earlycatch_medium_p2,always_open,0.05,0.7,1.25,0.25,0.28,0.3,2.0,0,0,0,-0.7166861991212314,-1.4720763603521452,-1.9255261577662264,0.31474530806831946,0.20027148415092852,0.20027148415092852,0.23831196000734917,1.090175036480241,1.090175036480241,15.820823755801264,81.9851988771034,True,1.4049203445485605,sweep,0.6366166787650553,0.6366166787650553
earlycatch_medium_p3,always_open,0.05,0.7,1.25,0.25,0.28,0.3,3.0,0,0,0,-0.7166861991212226,-1.4720763603521452,-1.9078979815407515,0.3147453080683112,0.19711884410389294,0.19711884410389294,0.2327472925148799,1.053097834915598,1.053097834915598,15.820823755801264,79.09069913520011,True,1.367843142983909,sweep,0.6198157512181092,0.6198157512181092
earlycatch_medium_p4,always_open,0.05,0.7,1.25,0.25,0.28,0.3,4.0,0,0,0,-0.7166861991212226,-1.4720763603521452,-1.9059126596407978,0.31474530806830286,0.1967782072794598,0.1967782072794598,0.22364392965860821,1.0106243369270898,1.0106243369270898,15.820823755801264,75.88911662136694,True,1.3253696449953927,sweep,0.6005695801950309,0.6005695801950309
earlycatch_smooth_p2,always_open,0.05,0.7,1.25,0.35,0.38,0.42,2.0,0,0,1,-0.5624389987440788,-1.6040381791546714,1.4510038866592394,0.31474531554574775,0.2034871744779172,0.2034871744779172,0.22561185239962217,1.4261685110501223,1.4261685110501228,15.820823986420535,75.56787022894493,False,1.7409138265958706,sweep,0.7888666304848422,1000.7888666304848
earlycatch_smooth_p3,always_open,0.05,0.7,1.25,0.35,0.38,0.42,3.0,0,0,1,-0.5624389987440643,-1.6040381791546714,1.4908236614219632,0.3147453155457383,0.19746749277957149,0.19746749277957149,0.22034349775618906,1.377664098979402,1.377664098979402,15.820823986420535,72.90011488045418,False,1.6924094145251403,sweep,0.766887649371972,1000.7668876493719
earlycatch_smooth_p4,always_open,0.05,0.7,1.25,0.35,0.38,0.42,4.0,0,0,1,-0.5624389987440643,-1.6040381791546714,1.4953074868255571,0.3147453155457289,0.1968170773541085,0.1968170773541085,0.21172578269916725,1.3221005633520175,1.322100563352018,15.820823986420535,69.94932129020657,False,1.636845878897747,sweep,0.7417099418607883,1000.7417099418608
earlycatch_very_smooth_p2,always_open,0.05,0.7,1.25,0.45,0.5,0.55,2.0,0,0,1,-0.21106782128913015,-1.694763648781317,5.92842532970442,0.31474533153372464,0.2055577954635746,0.2055577954635746,0.21953688861439424,1.4765791012218836,1.4765791012218836,15.820824695405634,71.44398199475197,False,1.7913244327556082,sweep,0.811709372276198,1000.8117093722763
earlycatch_very_smooth_p3,always_open,0.05,0.7,1.25,0.45,0.5,0.55,3.0,0,0,1,-0.21106782128910273,-1.694763648781317,5.99401967150837,0.3147453315337146,0.19769353964360364,0.19769353964360364,0.21440985529006998,1.4263601877135295,1.4263601877135295,15.820824695405634,68.92203056234457,False,1.741105519247244,sweep,0.788953492874966,1000.788953492875
earlycatch_very_smooth_p4,always_open,0.05,0.7,1.25,0.45,0.5,0.55,4.0,0,0,1,-0.21106782128910273,-1.694763648781317,6.001404714248424,0.3147453315337045,0.1968438210626113,0.1968438210626113,0.2060248156390163,1.3688333455489032,1.3688333455489032,15.820824695405634,66.13249754593743,False,1.6835786770826078,sweep,0.7628861451133674,1000.7628861451134
midcatch_medium_p2,always_open,0.15,0.7,1.25,0.25,0.28,0.3,2.0,0,0,1,-0.6732983128228796,-1.4720763603521452,0.8784413112731029,0.31474533136943833,0.20465934332930283,0.20465934332930283,0.2559100778912926,1.6321571401875505,1.6321571401875508,15.820823755801264,88.03938597927328,False,1.9469024715569891,sweep,0.8822070163133349,1000.8822070163134
midcatch_medium_p3,always_open,0.15,0.7,1.25,0.25,0.28,0.3,3.0,0,0,1,-0.6732983128228693,-1.4720763603521452,0.917954206768191,0.31474533136942034,0.1975928189777352,0.1975928189777352,0.24993448820056388,1.5766469539774008,1.5766469539774008,15.820823755801264,84.93114225376522,False,1.8913922853468212,sweep,0.8570534832181171,1000.8570534832181
