channel,channel_value,s0,l0,phase,region,inside_packet_initial,proper_distance_to_packet,branch,forward_radial_null_reaches_packet,s_hit_or_end,l_hit_or_end
negative_rho,0.024152010033059956,0.4600000000000001,-1.84,catch_rematch,outer_shoulder,False,440.81442662147896,minus,False,2.6099999999999883,-3.990063991367216
negative_radial_Tkk,0.2867109355172169,-0.35,1.2199999999999998,pre_catch_support,support_edge,False,887.2183277383655,plus,False,2.6099999999999888,4.080141015483383
negative_radial_Tkk,0.2867109355172169,-0.35,1.2199999999999998,pre_catch_support,support_edge,False,887.2183277383655,minus,True,0.33000000000000035,0.6788563394580686
negative_radial_Tkk,0.28597676598886757,-0.25999999999999995,1.2199999999999998,pre_catch_support,support_edge,False,811.2794834007882,plus,False,2.6099999999999888,3.9902960759121653
negative_radial_Tkk,0.28597676598886757,-0.25999999999999995,1.2199999999999998,pre_catch_support,support_edge,False,811.2794834007882,minus,True,0.38000000000000034,0.7147914765955239
negative_radial_Tkk,0.2853679761609721,-0.16999999999999996,1.2199999999999998,catch_rematch,support_edge,False,727.5186635040111,plus,False,2.6099999999999883,3.9005012205100034
negative_radial_Tkk,0.2853679761609721,-0.16999999999999996,1.2199999999999998,catch_rematch,support_edge,False,727.5186635040111,minus,True,0.42000000000000026,0.7581386380438864
negative_radial_Tkk,0.28336830349486486,-0.35,-1.245,pre_catch_support,support_edge,False,329.6158903122826,plus,False,2.6099999999999888,0.8865570061501855
negative_radial_Tkk,0.28336830349486486,-0.35,-1.245,pre_catch_support,support_edge,False,329.6158903122826,minus,False,2.6099999999999888,-4.119210769065882
negative_radial_Tkk,0.283152685682351,-0.07999999999999996,1.2199999999999998,catch_rematch,support_edge,False,635.1574028196208,plus,False,2.6099999999999883,3.8107558298412547
negative_radial_Tkk,0.283152685682351,-0.07999999999999996,1.2199999999999998,catch_rematch,support_edge,False,635.1574028196208,minus,True,0.4600000000000003,0.802426927417229
negative_radial_Tkk,0.2824026028281117,-0.25999999999999995,-1.245,pre_catch_support,support_edge,False,399.45192021567107,plus,False,2.6099999999999888,0.8178889950928161
negative_radial_Tkk,0.2824026028281117,-0.25999999999999995,-1.245,pre_catch_support,support_edge,False,399.45192021567107,minus,False,2.6099999999999888,-4.029350444125838
