t,phase,core_line_target_Tkk,core_line_flux_completed_min_Tkk,core_line_radial_flux_f,access_mean_target_Tkk,access_mean_flux_completed_min_Tkk,access_mean_radial_flux_f,support_mean_target_Tkk,support_mean_flux_completed_min_Tkk,support_mean_radial_flux_f,support_ring_mean_target_Tkk,support_ring_mean_flux_completed_min_Tkk,support_ring_mean_radial_flux_f,shoulder_mean_target_Tkk,shoulder_mean_flux_completed_min_Tkk,shoulder_mean_radial_flux_f
9.75,B_setup,-5.016562129075726e-06,-5.016562129075726e-06,0.0,-0.00018661977316946181,-0.0001869214528851025,-1.3847476128773427e-20,-0.009302448421015535,-0.00933812338616716,-5.098331644425884e-20,-0.029227070590991035,-0.029331860597621134,-2.0057740190981833e-19,-0.009555626429998437,-0.009730870400663583,-1.2280320496812292e-18
10.725,B_setup,-4.962227070899273e-06,-4.962227070899273e-06,0.0,-0.00018024819208329297,-0.0001805898394065211,5.067072095181975e-21,-0.00909714673959224,-0.009137514645984874,1.09710934120557e-19,-0.028763056292097643,-0.028882860993145902,2.2375222334669597e-18,-0.009464616386433132,-0.009673055090733578,-4.2905901530374896e-19
11.7,B_setup,-4.899109909735626e-06,-4.899109909735626e-06,0.0,-0.00017314846921099032,-0.00017353099804757698,2.4306820468529656e-20,-0.008865810450924091,-0.008910978317007785,4.724023751543983e-19,-0.02823380031987429,-0.028369038758192598,7.237049501340742e-19,-0.009355121955505337,-0.009598582228093845,1.0151874010440019e-18
12.674999999999999,B_setup,-4.827106944765258e-06,-4.827106944765258e-06,0.0,-0.0001653236750408965,-0.00016574773920722223,-1.2660117443783024e-20,-0.00860839064337183,-0.008658436206706147,2.710505431213761e-20,-0.027638826951911128,-0.02778979513373554,-1.0083080204115192e-18,-0.009226245953596515,-0.009506220891788278,-8.621322302270944e-19
13.65,B_setup,-4.746264548710183e-06,-4.746264548710183e-06,0.0,-0.00015678365711643163,-0.00015724964529649732,2.5426114005972837e-20,-0.008325145089578677,-0.008380116208457085,1.7747356990090102e-19,-0.026978573856516648,-0.02714544209327439,-3.415236843329339e-19,-0.009077359616483207,-0.009394991788466601,3.0824633776167365e-19
14.625,B_setup,-4.656777641936225e-06,-4.656777641936225e-06,0.0,-0.00014754496724758275,-0.0001480530027872982,-1.1843335673216378e-20,-0.008016635544812646,-0.008076550140718756,9.809448227249802e-20,-0.026254385022012078,-0.02643719757955979,4.87890977618477e-20,-0.008908114936296658,-0.009264185266036144,8.72075660477471e-20
15.6,B_setup,-4.558984170862483e-06,-4.558984170862483e-06,0.0,-0.00013763062336315831,-0.00013818056921940843,2.6651286661822808e-20,-0.007683717263675914,-0.007748563842171715,3.8850577847397244e-19,-0.02546847997734005,-0.025667157184190603,1.0950441942103594e-18,-0.008718450513758039,-0.009113373650013166,9.505919319360001e-19
16.575,B_setup,-4.4533556629691055e-06,-4.4533556629691055e-06,0.0,-0.00012706970882712663,-0.00012766117771860884,-9.07232788862731e-20,-0.007327520846766032,-0.007397259603757221,3.097720492815727e-19,-0.024623899611361216,-0.024838242454117285,1.4474099002681484e-18,-0.008508590299648868,-0.008942416960011716,-3.2198300251497165e-18
17.55,B_setup,-4.340484153419229e-06,-4.340484153419229e-06,0.0,-0.0001158968212143692,-0.00011652919074867838,1.0869247783873934e-19,-0.006949426962898517,-0.007023991452257531,1.2778097032864874e-19,-0.023724430224430514,-0.023954127333955112,-1.1655173354219172e-19,-0.008279034999033824,-0.008751461438034219,1.7277999023209893e-18
18.525,B_setup,-4.221065980753264e-06,-4.221065980753264e-06,0.0,-0.00010415139089619864,-0.00010482382319151411,8.95434829954546e-21,-0.006551034889266368,-0.006630334198600378,4.143201159141035e-19,-0.022774508660369796,-0.023019145474494594,1.2278589603398337e-18,-0.008030546325502484,-0.008540930730555141,-8.057861254749606e-20
19.5,B_setup,-4.095883115480766e-06,-4.095883115480766e-06,0.0,-9.187689666087954e-05,-9.258836175768503e-05,9.589623009986186e-21,-0.006134126139976421,-0.006218047495858404,4.866002607464704e-19,-0.021779112373568728,-0.022038182159187857,1.5043305143236374e-18,-0.007764124688461925,-0.008311509981319163,1.4379673242822353e-18
20.474999999999998,B_setup,-3.965782803141277e-06,-3.965782803141277e-06,0.0,-7.912001047300852e-05,-7.986931265622773e-05,9.982888306925683e-21,-0.0057006246880664385,-0.0057890363919335915,2.2458473572914022e-19,-0.020743639008797783,-0.021016555344551244,-1.5720931501039814e-19,-0.00748098124366016,-0.008064123479032037,-2.4397495082479517e-18
21.45,B_setup,-3.831656364689984e-06,-3.831656364689984e-06,0.0,-6.592970604302739e-05,-6.671551207728899e-05,1.0406404780552833e-20,-0.005252555412142235,-0.005345309994455158,3.536564229297955e-19,-0.01967378046337524,-0.019959890728414042,5.529431079676072e-19,-0.0071825055100930135,-0.007799906834443879,-1.2596484751254822e-18
22.425,B_setup,-3.6944180001380226e-06,-3.6944180001380226e-06,0.0,-5.235636605114829e-05,-5.317723427683376e-05,1.1465195964620709e-20,-0.00479200241185269,-0.004888939885575242,1.4972315715276013e-19,-0.018575396448733034,-0.018873995835610863,3.9844429838842286e-19,-0.00687022993752931,-0.007520174911726808,1.378527707896651e-18
23.4,B_setup,-3.5549843902654912e-06,-3.5549843902654912e-06,0.0,-3.845092079443356e-05,-3.9305330039082154e-05,3.351830376992017e-20,-0.0043210687429966615,-0.004422019837974862,7.124757133476172e-19,-0.017454392290289313,-0.01776473786078387,1.5449880957918438e-18,-0.006545792889811703,-0.007226386895111794,-1.7691940341781125e-18
24.375,B_setup,-3.414255793338329e-06,-3.414255793338329e-06,0.0,-2.4264047041725038e-05,-2.5150424365034237e-05,-1.0103893013676297e-20,-0.003841838938903689,-0.003946628205714663,3.2913280236167098e-19,-0.01631660514847008,-0.01663792947783601,1.2929110906889641e-18,-0.006210901491325684,-0.006920109928679168,2.7367266250591986e-18
25.349999999999998,B_setup,-3.2730992016645694e-06,-3.2730992016645694e-06,0.0,-9.845450472627472e-06,-1.0762196874744561e-05,1.2765996562189812e-20,-0.003356345432390701,-0.00346479411667214,3.536564229297955e-19,-0.01516770207815879,-0.01549922608188362,-5.4210108624275225e-21,-0.005867295677810347,-0.006602982729529857,-1.3772019171966006e-18
26.325,B_setup,-3.132333970065838e-06,-3.132333970065838e-06,0.0,4.756751199631312e-06,3.811237829859642e-06,1.3280266565879923e-20,-0.0028665396982704336,-0.002978468303091072,3.368771035937103e-19,-0.014013092448545988,-0.014354037050813654,8.402566836762659e-19,-0.005516714615049102,-0.006276680454790196,-8.784099938221552e-19
27.3,B_setup,-2.9927201679405286e-06,-2.9927201679405286e-06,0.0,1.949653389934125e-05,1.852383914967389e-05,3.7965226743005246e-20,-0.002374268626746916,-0.0024894990997522165,4.001222303220314e-19,-0.012857856301662621,-0.013207452680503887,5.312590645178972e-19,-0.005160866421195625,-0.005942881919226956,-3.003652486002641e-19
28.275,B_setup,-2.85494975230889e-06,-2.85494975230889e-06,0.0,3.433035749687414e-05,3.333203448484786e-05,-1.0194646543739258e-20,-0.00188125633742541,-0.0019996138398027763,4.452973208422607e-19,-0.011706689310237347,-0.012064187534832255,1.2034644114589099e-18,-0.0048014018733313025,-0.005603240033986529,1.431853956054226e-18
29.25,B_setup,-2.719640519550369e-06,-2.719640519550369e-06,0.0,4.921744233198248e-05,4.81949996434293e-05,4.041557205470519e-20,-0.0013890913720221833,-0.0015104056064186705,9.254439972286985e-19,-0.010563864164975406,-0.010928540120345989,2.45029690981724e-18,-0.004439892518098358,-0.005259356089977413,8.175709316976291e-19
30.224999999999998,B_setup,-2.587332677483675e-06,-2.587332677483675e-06,0.0,6.411993833293567e-05,6.307483187875022e-05,1.612387717451936e-20,-0.0008992189754731128,-0.0010233250687311252,8.002444606440628e-20,-0.009433207521835426,-0.009804368090687517,-5.149960319306146e-19,-0.004077813358716183,-0.004912758261826578,-3.111188842784491e-18
31.2,B_setup,-2.458487789643875e-06,-2.458487789643875e-06,0.0,7.900299681554708e-05,7.793662549494206e-05,1.5730611877579865e-20,-0.0004129379982937575,-0.0005396769513913934,7.395807676597548e-19,-0.008318091097001075,-0.008695077634313587,2.0708261494473136e-18,-0.003716530070935016,-0.0045648844769723175,1.4842963437451009e-18
32.175,B_setup,-2.3334897821461413e-06,-2.3334897821461413e-06,0.0,9.383475759649649e-05,9.274846253474564e-05,1.678940306164774e-20,6.8598169610943e-05,-6.062056172384013e-05,2.8912057932946783e-19,-0.0072214351194188845,-0.0076036253102927205,2.168404344971009e-19,-0.0033572905182479925,-0.004217069591830519,-1.2665720487813e-18
33.15,B_setup,-2.212647668574619e-06,-2.212647668574619e-06,0.0,0.00010858626550134108,0.00010748133253685295,1.7152417181899582e-20,0.0005443772940389434,0.0004128262751745897,4.285180015061756e-19,-0.006145722131936876,-0.006532530366094208,1.0191500421363742e-18,-0.003001220196951312,-0.0038705366509968987,7.828057533407569e-19
34.125,B_setup,-2.0961996380792383e-06,-2.0961996380792383e-06,0.0,0.0001232313308111576,0.00012210899584046028,4.649605856892356e-20,0.0010135213048978406,0.0008797805501591834,6.802077915474534e-19,-0.005093019055312497,-0.005483895482360864,1.0137290312739466e-18,-0.0026493211451866336,-0.0035263918797107997,-2.4214830586028153e-18
35.1,B_setup,-1.984318159870805e-06,-1.984318159870805e-06,0.0,0.0001377463478431767,0.00013660780459173917,1.8695227192969916e-20,0.0014752772877850253,0.0013394853377004968,6.040554960990667e-19,-0.0040650054708169904,-0.004459433919629189,1.3769367590565906e-18,-0.0023024737943300897,-0.003185622974155049,3.352777370349196e-19
36.074999999999996,B_setup,-1.8771157820835332e-06,-1.8771157820835332e-06,0.0,0.00015211008488835067,0.0001509564946570755,1.8422966602781032e-20,0.0019290070843501542,0.0017912996209324909,4.672395076663721e-19,-0.003063006209722587,-0.0034605011642696833,6.179952383167375e-19,-0.0019614412210578152,-0.0028491002056004683,8.21695613875563e-19
37.05,B_setup,-1.7746513366694703e-06,-1.7746513366694703e-06,0.0,0.00016630345732598705,0.0001651359602642901,-1.0769418900804675e-20,0.002374176062082021,0.002234687234751173,2.9686488056150717e-19,-0.0020880265342723735,-0.002488129358562745,7.209944447028605e-19,-0.0016268752677618334,-0.002517579837992788,-1.6233570571725895e-18
38.025,B_setup,-1.67693630300509e-06,-1.67693630300509e-06,0.0,0.00018030929407562282,0.0001791290215483031,2.0117032497289633e-20,0.002810341536758469,0.0026692054119728413,5.007981463385425e-19,-0.001140788429522996,-0.0015430630276843777,9.486769009248164e-19,-0.001299324030821635,-0.0021917093683120363,-5.662599389992227e-19
39.0,B_setup,-1.5839411255367796e-06,-1.5839411255367796e-06,0.0,0.00019411210578062208,0.0001929201934234002,5.436136450771349e-20,0.003237141248071109,0.0030944933361455092,5.11123881314595e-19,-0.00022176677697717268,-0.0006257948627058663,9.378348791999614e-19,-0.0009792402638008927,-0.0018720341285983044,5.568320940210879e-19
39.975,B_setup,-1.4956013236188128e-06,-1.4956013236188128e-06,0.0,0.0002076978613661426,0.00020649546246023903,-1.2977754799003387e-20,0.00365428220658142,0.003510261023157275,9.215718466126788e-19,0.000668775568256166,0.0002633994340462584,1.713039432527097e-18,-0.0006669902998040889,-0.0015590048318403257,6.95303567137443e-20
40.949999999999996,B_setup,-1.4118232719707423e-06,-1.4118232719707423e-06,0.0,0.00022105377796458799,0.00021984207680088294,5.61159327555974e-20,0.0040615301524132745,0.003916278776580779,3.17516350513612e-19,0.0015307545379084266,0.0011244279999468065,6.884683795282953e-19,-0.0003628631587839601,-0.0012529856955391771,-8.001883425191929e-19
41.925,B_setup,-1.3324895659719533e-06,-1.3324895659719533e-06,0.0,0.00023416812771406866,0.00023294835265951072,-1.334076891925523e-20,0.004458699795796845,0.00431236739165102,3.89796495345979e-19,0.002364233975101485,0.00195735190434335,9.812029660993816e-19,-6.707956737363574e-05,-0.0009542628320966877,3.535441866800558e-21
42.9,B_setup,-1.2574639175275735e-06,-1.2574639175275735e-06,0.0,0.0002470300636440264,0.00024580349966521475,-1.620858046924479e-19,0.004845645948410952,0.004698389221616807,2.6072480814532367e-19,0.0031693974624946173,0.0027623568401473815,6.451002926288752e-19,0.000220199322274679,-0.0006630526506193425,-5.421010862427522e-19
43.875,B_setup,-1.1865955536840423e-06,-1.1865955536840423e-06,0.0,0.00025962946578050834,0.0002583974662198389,2.8895923972046705e-19,0.0052222556031139705,0.005074240168680759,8.828503404524821e-19,0.0039465230363174755,0.003539727614843901,1.2034644114589099e-18,0.0004988636742538787,-0.00037951006758631676,-3.871308844146611e-19
44.85,B_setup,-1.119723110933789e-06,-1.119723110933789e-06,0.0,0.0002719568077297047,0.0002707208051674817,-1.5760863054267517e-20,0.0055884409780526,0.005439842619850589,3.588192904178217e-19,0.004695960841066207,0.004289825512308601,6.938893903907229e-19,0.0007688472832521944,-0.0001037363722652298,2.5867649658757414e-19
45.824999999999996,B_setup,-1.0566780349197642e-06,-1.0566780349197642e-06,0.0,0.0002840030433198438,0.0002827645593902459,2.262788016236488e-20,0.005944133508716194,0.005795139315231148,7.150571470916303e-19,0.005418113680102099,0.005013068495771103,1.4582519219930034e-18,0.0010301205327177651,0.00016421336431989765,5.141121714639144e-19
46.8,B_setup,-9.97287507247868e-07,-9.97287507247868e-07,0.0,0.00029575951237754977,0.0002945201664372999,2.36564201697451e-20,0.006289278747350462,0.006140088111722076,3.717264591378872e-19,0.006113420343084155,0.00570991414628182,3.903127820947816e-19,0.0012826840342517766,0.000424323411174047,-4.784631326403421e-19
47.775,B_setup,-9.413769297056529e-07,-9.413769297056529e-07,0.0,0.00030721786436325234,0.0003059793809389266,6.661309106621319e-20,0.006623832112167017,0.006474657587684499,7.925001594120235e-19,0.006782341538783992,0.00638084517693655,1.4365678785432934e-18,0.0015265629584572933,0.0006766110733716614,-1.311648932583007e-18
48.75,B_setup,-8.887720015077544e-07,-8.887720015077544e-07,0.0,0.0003183699983652859,0.00031713421332865184,-1.9118743666597066e-20,0.0069477554178346435,0.006798823422776894,4.336808689942018e-19,0.007425348227880539,0.007026357327484629,7.345469718589293e-19,0.001761802046349788,0.00092112098086973,4.708030085956076e-19
49.725,B_setup,-8.393004281860664e-07,-8.393004281860664e-07,0.0,0.00032920801783097714,0.0003279768832718083,7.018272991535632e-20,0.007261014112687938,0.0071125654807212635,8.983389429165609e-19,0.008042912131387301,0.007646949423425779,1.509751525186065e-18,0.001988461274681013,0.0011579199689750813,8.67950978299537e-19
50.699999999999996,B_setup,-7.927933015891743e-07,-7.927933015891743e-07,0.0,0.00033972419837197267,0.00033849978615465084,-2.3111898989367337e-20,0.007563575145895425,0.007415865520213245,3.510749891857824e-19,0.008635498183245566,0.008243115375144593,7.399679827213568e-19,0.0022066121373712573,0.0013870925344527968,-8.876905287225068e-19
51.675,B_setup,-7.49086190115488e-07,-7.49086190115488e-07,0.0,0.00034991096700210555,0.000348695471006369,2.5350486064253702e-20,0.00785540538856392,0.0077087054596095324,1.5488602464078634e-20,0.009203558697489102,0.008815337893227644,1.3010426069826053e-19,0.0024163344979280872,0.0016087368404567044,-3.3675083781275316e-19
52.65,B_setup,-7.080199763893322e-07,-7.080199763893322e-07,0.0,0.00035976089123075574,0.0003585566282888237,7.472040641850435e-20,0.008136470535619321,0.007991066123615588,5.8856689363498815e-19,0.009747529028809283,0.009364083703421934,1.0137290312739466e-18,0.00261771396352504,0.0018229612360991798,-8.287664976091641e-19
53.625,B_setup,-6.694414777156743e-07,-6.694414777156743e-07,0.0,0.00036926667653014434,0.00036807608608189585,-2.991841374408939e-20,0.008406734419630893,0.008262926404289059,6.427770022592634e-19,0.010267824518288029,0.009889800056685253,1.0570971181733668e-18,0.0028108397296657873,0.0020298812519117457,-4.407517527278029e-19
54.6,B_setup,-6.332038813670109e-07,-6.332038813670109e-07,0.0,0.0003784211708091727,0.0003772468133051093,2.286988957586611e-20,0.008666158672996182,0.008524262773728733,2.5427122378529093e-19,0.010764838531866884,0.01039291234478923,6.451002926288752e-19,0.0029958028444909053,0.0022296170301364733,-1.567379227614914e-19
55.574999999999996,B_setup,-5.991670242162163e-07,-5.991670242162163e-07,0.0,0.00038721737465064767,0.00038606192873887003,7.798753350077094e-20,0.00891470268065249,0.0087750490914045,9.925612745730392e-19,0.011238941416481543,0.010873822648644246,1.5558301175166988e-18,0.0031726948433003603,0.002422291148203313,1.9633487166965766e-18
56.55,B_setup,-5.671975427249419e-07,-5.671975427249419e-07,0.0,0.0003956484561964092,0.0003945147147351395,1.9875023083788405e-20,0.009152323771403879,0.009015256654875358,-1.2907168720065528e-21,0.011690480216717088,0.011332909063915726,1.5991982044161191e-19,0.00334160670635687,0.0026080267944761965,-1.2795353356262353e-18
57.525,B_setup,-5.371689166533465e-07,-5.371689166533465e-07,0.0,0.0004037077696903704,0.0004025986346320128,2.4110187820059907e-20,0.009378977601810444,0.009244854448393488,5.279032006506801e-19,0.012119779012592976,0.011770525665835599,4.716279450311944e-19,0.0035026280961658663,0.0027869462570139806,-1.014966435927327e-18
58.5,B_setup,-5.089614264984316e-07,-5.089614264984316e-07,0.0,0.0004113888768102673,0.00041030735300676434,2.2506875455614267e-20,0.009594618692210346,0.009463809549431716,4.027036640660445e-19,0.012527139756148989,0.01218700299184736,8.673617379884035e-19,0.0036558468339358695,0.002959169688401424,6.684931329808722e-19
59.475,B_setup,-4.82462042593425e-07,-4.82462042593425e-07,0.0,0.0004186855700315221,0.0004176347580137502,-3.748120791600279e-20,0.009799201079722958,0.009672087658382834,-1.4197885592072083e-20,0.012912843500526553,0.012582648936495114,7.318364664277155e-20,0.003801348578600192,0.0031248141124162777,-1.105120203530741e-18
60.449999999999996,B_setup,-4.5756426040051204e-07,-4.5756426040051204e-07,0.0,0.0004255918973708232,0.00042457498515768865,8.279747059410786e-20,0.009992679057944234,0.00986965372148962,8.970482260445543e-19,0.013277151930010939,0.012957749967547954,1.441988889405721e-18,0.003939216675475655,0.0032839926412274274,7.872250556742576e-19
61.425,B_setup,-4.3416789534255396e-07,-4.3416789534255396e-07,0.0,0.0004321021879510765,0.00043112244194604355,1.748518012546377e-20,0.010175007977460541,0.01005647262143828,4.3239015212219523e-19,0.013620309112913887,0.013312572585624521,8.402566836762659e-19,0.0040695321452337355,0.003436813874815948,3.034587602337146e-20
62.4,B_setup,-4.1217884748703894e-07,-4.1217884748703894e-07,0.0,0.0004382110779140826,0.0004372718329491909,-4.241214971609032e-20,0.010346145085264461,0.010232509913972999,4.001222303220314e-19,0.013942543411200487,0.01364736496150507,7.291259609965017e-19,0.004192373787286115,0.0035833814572800425,-5.986681561115611e-19
63.375,B_setup,-3.915088453129329e-07,-3.915088453129329e-07,0.0,0.0004439135362821312,0.0004430181848712827,8.074039057934741e-20,0.010506050384664869,0.010397732592371242,3.4720283856976275e-19,0.014244069491424843,0.013962358695904708,4.445228907190568e-19,0.0043078183748912835,0.00372379376753753,-4.666783264176736e-19
64.35,B_setup,-3.7207517600769334e-07,-3.7207517600769334e-07,0.0,0.0004492048904354619,0.0004483568713004415,1.993552543716371e-20,0.010654687500365325,0.010552109864679308,2.80085561225422e-19,0.014525090390898878,0.014257770655789901,-3.3881317890172014e-19,0.00441594092224086,0.0038581437246328677,4.708030085956076e-19
65.325,B_setup,-3.538004082913663e-07,-3.538004082913663e-07,0.0,0.0004540808509300064,0.0004532836368642968,1.5428100110703328e-20,0.010792024536067786,0.01069561393127105,2.9428344681749407e-19,0.014785799601163737,0.01453380484942699,1.6479873021779667e-18,0.004516815006470761,0.003986518690353849,-3.2791223314575174e-19
66.3,B_setup,-3.3661211246005957e-07,-3.3661211246005957e-07,0.0,0.0004585375354297654,0.00045779462056672613,-5.2395038023016004e-20,0.010918034914278216,0.010828220752594967,4.143201159141035e-19,0.015026383137867264,0.014790654309359,7.26415455565288e-19,0.004610513129964051,0.004109000454153172,8.426136449207997e-20
67.27499999999999,B_setup,-3.204425822715749e-07,-3.204425822715749e-07,0.0,0.00046257149156967884,0.0004618863781224238,8.06193858725968e-20,0.011032698189977888,0.010949910798942766,7.150571470916303e-19,0.015247021572175579,0.015028502958505306,1.677802861921318e-18,0.0046971071104711815,0.004225665287423415,-7.810380324073566e-19
68.25,B_setup,-3.052285606729622e-07,-3.052285606729622e-07,0.0,0.00046617971860334095,0.0004655559031455222,1.3371020095942885e-20,0.011136000831521957,0.011060669775755528,1.9102609705696982e-19,0.015447892003977701,0.01524752743969365,-5.027987574901527e-19,0.004776668488488913,0.0043365840560393555,-8.04313024697127e-20
69.225,B_setup,-2.909109730488445e-07,-2.909109730488445e-07,0.0,0.00046935968771832996,0.0004688006470756021,1.2629866267095372e-20,0.011227936963559828,0.011160489319396116,3.052545402295498e-19,0.015629169961474197,0.015447898893242367,-4.472333961502706e-19,0.004849268943020874,0.0044418223817036225,-5.568320940210879e-19
70.2,B_setup,-2.774346683524477e-07,-2.774346683524477e-07,0.0,0.0004721093609307516,0.0004716185377531875,-6.674922136130763e-20,0.011308509067982335,0.011249367659505873,-5.007981463385425e-19,0.015791031215382334,0.015629784670826458,5.21772295508649e-19,0.0049149807083160345,0.004541440844075926,7.216720710606639e-19
71.175,B_setup,-2.647481704934185e-07,-2.647481704934185e-07,0.0,0.0004744272084903873,0.00047400799657783255,8.431002942849054e-20,0.011377728639910725,0.011327310245057952,-9.938519914450457e-20,0.015933653499023547,0.015793349976876918,1.6263032587282566e-20,0.004973876985457854,0.004635495216920187,-5.789286056885914e-19
72.14999999999999,B_setup,-2.528034406702366e-07,-2.528034406702366e-07,0.0,0.00047631222474734416,0.000475967954198873,2.0722056031042706e-21,0.01143561679658359,0.01139433033203077,3.9302328752599536e-19,0.016057218128074122,0.015938759431235985,1.0408340855860842e-18,0.005026032343783491,0.0047240367325764995,9.472038001469828e-20
73.125,B_setup,-2.415556504675318e-07,-2.415556504675318e-07,0.0,0.00047776394244705255,0.0004774978647071527,-7.531786715808551e-20,0.011482204837694625,0.011450449531304464,-2.9299272994548753e-19,0.016161911515828294,0.016066178548834714,-1.1262150066693177e-18,0.005071523108063216,0.004807112370000547,5.650814583769559e-19
74.1,B_setup,-2.3096296725239447e-07,-2.3096296725239447e-07,0.0,0.0004787824454315208,0.0004785977183052015,8.399239207327018e-20,0.011517534756304043,0.011495698315923559,1.8134572051692069e-19,0.016247926581509496,0.01617577513380074,-9.181837148236616e-19,0.005110427728182604,0.004884765162392391,-1.2128775254292663e-18
75.075,B_setup,-2.2098635073215846e-07,-2.2098635073215846e-07,0.0,0.00047936837973751697,0.00047926805244616404,-2.39362435541059e-21,0.01154165969991511,0.011530116487309974,4.633673570503525e-19,0.016315464050533558,0.0162677205867269,1.9149720871525224e-18,0.005142827128765585,0.004957034521095995,1.0513520251398159e-18
76.05,B_setup,-2.1158936116664406e-07,-2.1158936116664406e-07,0.0,0.00047952296308936094,0.0004795074802926572,-9.085397342305648e-22,0.011554644381685391,0.011551208852111946,-3.207431426936284e-19,0.016364733646722727,0.016339520007621323,-5.400682071693419e-19,0.005168805036762961,0.00502395657301219,6.205437026623896e-19
77.02499999999999,B_setup,-2.027379796028133e-07,-2.027379796028133e-07,0.0,0.0004792479927915872,0.00047915897990215414,-4.632211430296955e-21,0.011556565442047197,0.011546457569377385,5.800158943579448e-20,0.016395955177339057,0.016377544276910374,5.632769099241097e-19,0.005188448285529042,0.005085307484884022,-1.42336521282196e-18
78.0,B_setup,-1.9440043830696563e-07,-1.9440043830696563e-07,0.0,0.00047854585203428734,0.00047837185721059337,-9.500382038757608e-20,0.011547511761257756,0.01152608824118903,-6.673006228273879e-19,0.016409359512489098,0.01637927589832276,-1.5380894094831516e-18,0.005201847094327414,0.005104631980613708,9.470656969490609e-19
78.975,B_setup,-1.8654706276829694e-07,-1.8654706276829694e-07,0.0,0.0004774195146258057,0.00047715097005704627,-9.551809039126618e-21,0.011527584723590681,0.011494540065469891,5.533948588728096e-19,0.016405189460976015,0.016347768034472753,9.994988777600745e-21,0.005209095322555397,0.005100989972682567,-1.0551084321232915e-19
