observer_family,component,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,qi_proxy_status
matching_mean,total_with_overlay,10.0,-0.0004683457340585031,40.4625,-9.498860966469166e-07,-0.0004673958479618562,below_proxy_bound
matching_mean,total_with_overlay,20.0,-0.00020415692235480526,80.4375,-5.936788104043229e-08,-0.00020409755447376482,below_proxy_bound
matching_mean,total_with_overlay,40.0,-8.260517829508873e-05,160.3875,-3.710492565027018e-09,-8.26014678025237e-05,below_proxy_bound
matching_mean,overlay_only,0.5,2.1307876779790457e-20,4.3875,-0.15198177546350666,0.15198177546350666,above_proxy_bound
matching_mean,overlay_only,1.0,4.400414107901478e-20,5.85,-0.009498860966469166,0.009498860966469166,above_proxy_bound
matching_mean,overlay_only,2.0,9.212563991180603e-20,8.2875,-0.0005936788104043229,0.000593678810404323,above_proxy_bound
matching_mean,overlay_only,5.0,2.587686802792096e-19,20.474999999999998,-1.5198177546350666e-05,1.5198177546350925e-05,above_proxy_bound
matching_mean,overlay_only,10.0,6.351054748518447e-19,40.4625,-9.498860966469166e-07,9.498860966475517e-07,above_proxy_bound
matching_mean,overlay_only,20.0,2.037505386786178e-18,80.4375,-5.936788104043229e-08,5.936788104246979e-08,above_proxy_bound
matching_mean,overlay_only,40.0,1.5007407414240445e-17,160.3875,-3.710492565027018e-09,3.7104925800344256e-09,above_proxy_bound
