phase,zone,min_Tkk_geo,min_Tkk_total,max_Tkk_total,mean_Tkk_total,max_overlay,max_abs_flux_geo,max_abs_Kll,max_abs_Kth,min_N,min_R
B_reset,access,-0.0006109380357768075,-0.0006109380357768075,-1.0065724850849556e-09,-3.573191286924883e-05,0.0,5.332856150168868e-07,0.028978246302069237,1.776356839374355e-15,1.0,1.0
B_reset,support,-0.04207188553017961,-0.04207188553017961,-1.0065724850849556e-09,-0.002318710939609308,0.0,0.0001236744352838787,0.028978246302069237,1.776356839374355e-15,1.0,1.0
B_reset,shoulder,-0.13084563653297196,-0.13084563653297196,0.0365399245855851,-0.002530050540227542,0.0,0.0012495211596262462,0.028974942171484445,2.0407839705918824e-15,1.0,1.1683621305347913
B_reset,matching,-0.000780984214011776,-0.000780984214011776,-1.184504837616652e-05,-0.000234365309897347,0.0,0.00029962808702570747,0.028372574451723333,2.7037363497160254e-15,1.0,4.621487206516967
open_interval,access,-0.0022843726465786255,-0.0022843726465786255,-2.489021744198072e-07,-0.001180107975648511,0.0,0.0008534805966369938,1.558175995881301e-11,0.01045423638057228,1.0,1.0
open_interval,support,-0.0067717094846366024,-0.0067717094846366024,0.0018537448330048418,-0.0010518620991844176,0.0,0.001702610445437531,1.558186407077112e-11,0.07824271151757997,1.0,1.0
open_interval,shoulder,-0.008365134817873154,-0.008365134817873154,0.0044283668539159245,-9.010467924081402e-05,0.0,0.0011657101023765757,1.558120298014892e-11,0.11313729237076008,1.0,1.1684443579655612
open_interval,matching,-9.362493020702275e-05,-9.362493020702275e-05,-1.1961302296629572e-05,-3.551881664940272e-05,0.0,3.3769092494088277e-14,1.5499068031123297e-11,6.789775496327679e-16,1.0,4.621487206516967
full_cycle,access,-0.0022843726465786255,-0.0022843726465786255,0.008199358380941065,-1.5080844937748372e-05,0.008199359387513544,0.0008534805966369938,0.028978246302069237,0.01045423638057228,0.999999997281043,1.0
full_cycle,support,-0.042071885530179806,-0.042071885530179806,0.008199358380941065,-0.001776353098113497,0.008199359387513544,0.001702610445437531,0.028978246302069237,0.07824271151757997,0.9994877901149133,1.0
full_cycle,shoulder,-0.13084563653297204,-0.13084563653297204,0.0365399245855851,-0.0019432846789505336,0.001899851564912808,0.0012495211596262462,0.028974942171484445,0.11313729237076008,0.8200140622714182,1.1683621305347913
full_cycle,matching,-0.000780984214011776,-0.000780984214011776,-1.1845048371518687e-05,-0.00018856684643788423,7.608840503720235e-14,0.00029962808702570747,0.028372574451723333,2.7037363497160254e-15,0.9999999999927917,4.621487206516967
