tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.002,-1.37,-0.03978873577297383,122150.62797572998
0.002,-1.3599999999999999,-0.03978873577297384,122150.62797572995
0.002,-1.35,-0.039788735772973836,122150.62797572996
0.002,-1.3399999999999999,-0.03978873577297383,122150.62797572998
0.002,-1.33,-0.039788735772973836,122150.62797572996
0.002,-1.3199999999999998,-0.039788735772973836,122150.62797572996
0.002,-1.31,-0.03978873577297384,122150.62797572995
0.002,-1.2999999999999998,-0.03978873577297384,122150.62797572995
0.002,-1.29,-0.03978873577297384,122150.62797572995
0.002,-1.28,-0.03978873577297382,122150.62797572999
0.002,-1.27,-0.03978873577297382,122150.62797572999
0.002,-1.26,-0.039788735772973836,122150.62797572996
0.002,-1.25,-0.03978873577297384,122150.62797572995
0.002,-1.24,-0.039788735772973836,122150.62797572996
0.002,-1.23,-0.03978873577297382,122150.62797572999
0.002,-1.22,-0.039788735772973836,122150.62797572996
0.002,-1.21,-0.039788735772973836,122150.62797572996
0.002,-1.2,-0.039788735772973836,122150.62797572996
0.002,-1.19,-0.03978873577297383,122150.62797572998
0.002,-1.18,-0.03978873577297382,122150.62797572999
0.002,-1.17,-0.03978873577297383,122150.62797572998
0.002,-1.1600000000000001,-0.03978873577297382,122150.62797572999
0.002,-1.15,-0.039788735772973836,122150.62797572996
0.002,-1.1400000000000001,-0.039788735772973836,122150.62797572996
0.002,-1.13,-0.03978873577297385,122150.62797572995
0.002,-1.12,-0.03978873577297384,122150.62797572995
0.002,-1.1099999999999999,-0.03978873577297384,122150.62797572995
0.002,-1.1,-0.039788735772973836,122150.62797572996
0.002,-1.0899999999999999,-0.03978873577297383,122150.62797572998
0.002,-1.08,-0.03978873577297383,122150.62797572998
0.002,-1.0699999999999998,-0.039788735772973836,122150.62797572996
0.002,-1.06,-0.03978873577297383,122150.62797572998
0.002,-1.0499999999999998,-0.03978873577297384,122150.62797572995
0.002,-1.04,-0.03978873577297383,122150.62797572998
0.002,-1.03,-0.03978873577297383,122150.62797572998
0.002,-1.02,-0.03978873577297384,122150.62797572995
0.002,-1.01,-0.039788735772973836,122150.62797572996
0.002,-1.0,-0.03978873577297383,122150.62797572998
0.002,-0.99,-0.039788735772973836,122150.62797572996
0.002,-0.98,-0.03978873577297382,122150.62797572999
0.002,-0.97,-0.039788735772973816,122150.62797572999
0.002,-0.96,-0.03978873577297382,122150.62797572999
0.002,-0.95,-0.039788735772973836,122150.62797572996
0.002,-0.94,-0.03978873577297382,122150.62797572999
0.002,-0.9299999999999999,-0.03978873577297383,122150.62797572998
0.002,-0.9199999999999999,-0.03978873577297383,122150.62797572998
0.002,-0.9099999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.8999999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.8899999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.8799999999999999,-0.03978873577297385,122150.62797572995
0.002,-0.8699999999999999,-0.039788735772973836,122150.62797572996
0.002,-0.8599999999999999,-0.03978873577297384,122150.62797572995
0.002,-0.8499999999999999,-0.03978873577297382,122150.62797572999
0.002,-0.8400000000000001,-0.039788735772973836,122150.62797572996
0.002,-0.8300000000000001,-0.039788735772973836,122150.62797572996
0.002,-0.8200000000000001,-0.039788735772973836,122150.62797572996
0.002,-0.81,-0.03978873577297383,122150.62797572998
0.002,-0.8,-0.039788735772973836,122150.62797572996
0.002,-0.79,-0.039788735772973836,122150.62797572996
0.002,-0.78,-0.03978873577297384,122150.62797572995
0.002,-0.77,-0.03978873577297383,122150.62797572998
0.002,-0.76,-0.03978873577297384,122150.62797572995
0.002,-0.75,-0.03978873577297382,122150.62797572999
0.002,-0.74,-0.03978873577297382,122150.62797572999
0.002,-0.73,-0.03978873577297383,122150.62797572998
0.002,-0.72,-0.03978873577297382,122150.62797572999
