tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.01,-2.356194490192345,0.07647124682828964,inf
0.01,-2.3373449342708064,0.09722186666947036,inf
0.01,-2.318495378349267,0.1203104377856689,inf
0.01,-2.2996458224277285,0.1456600016666305,inf
0.01,-2.28079626650619,0.17313820889081227,inf
0.01,-2.261946710584651,0.2025360516002324,inf
0.01,-2.243097154663112,0.2335408920086806,inf
0.01,-2.2242475987415737,0.26570291636951304,inf
0.01,-2.205398042820035,0.29839450268642326,inf
0.01,-2.186548486898496,0.3307628372114232,inf
0.01,-2.1676989309769574,0.36167777621261765,inf
0.01,-2.1488493750554185,0.38967988241555984,inf
0.01,-2.1299998191338796,0.4129383306064246,inf
0.01,-2.111150263212341,0.4292354970566718,inf
0.01,-2.092300707290802,0.43600462656508276,inf
0.01,-2.0734511513692633,0.43045790053992194,inf
0.01,-2.054601595447725,0.4098508504939582,inf
0.01,-2.035752039526186,0.3719274689715569,inf
0.01,-2.016902483604647,0.3155654630417437,inf
0.01,-1.9980529276831085,0.24157712442978183,inf
0.01,-1.9792033717615696,0.1535101811408667,inf
0.01,-1.9603538158400309,0.05815480045271308,inf
0.01,-1.9415042599184922,-0.0346320814688634,5237.167550001336
0.01,-1.9226547039969535,-0.1131098656438536,2897.9141953104186
0.01,-1.9038051480754146,-0.1658534769152267,2393.169588224907
0.01,-1.8849555921538759,-0.1844635222073911,2269.2404532519786
0.01,-1.8661060362323372,-0.16584356347893697,2393.2411140026275
0.01,-1.8472564803107985,-0.11309320791229026,2898.127607327973
0.01,-1.8284069243892596,-0.03461417245193489,5238.522203124365
0.01,-1.8095573684677209,0.05816750992205118,inf
0.01,-1.7907078125461822,0.15351169762196026,inf
0.01,-1.7718582566246432,0.24156298262085787,inf
0.01,-1.7530087007031048,0.31553326983509367,inf
0.01,-1.7341591447815659,0.3718769482629471,inf
0.01,-1.715309588860027,0.4097835394238922,inf
0.01,-1.6964600329384885,0.43037667481487824,inf
0.01,-1.6776104770169495,0.43591319794790556,inf
0.01,-1.6587609210954106,0.42913797080084065,inf
0.01,-1.6399113651738721,0.4128388610663348,inf
0.01,-1.6210618092523332,0.3895824314572477,inf
0.01,-1.6022122533307943,0.36158596112665714,inf
0.01,-1.5833626974092558,0.33067984820463986,inf
0.01,-1.564513141487717,0.29832306998666264,inf
0.01,-1.5456635855661784,0.2656453099835535,inf
0.01,-1.5268140296446395,0.23349894106584643,inf
0.01,-1.5079644737231006,0.20251117388891748,inf
0.01,-1.4891149178015621,0.1731314442127204,inf
0.01,-1.4702653618800232,0.14567204491351035,inf
0.01,-1.4514158059584843,0.12034166926707991,inf
0.01,-1.4325662500369458,0.09727237832208678,inf
0.01,-1.413716694115407,0.07654086365195784,inf
0.01,-1.394867138193868,0.058184962820998144,inf
0.01,-1.3760175822723295,0.04221633188857456,inf
0.01,-1.3571680263507906,0.028630065283937415,inf
0.01,-1.3383184704292517,0.017411921393835947,inf
0.01,-1.3194689145077132,0.008543683967120824,inf
0.01,-1.3006193585861743,0.002007074432724903,inf
0.01,-1.2817698026646358,-0.002213468831989286,20715.67361989715
