V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap,mode,variant,timelike,spacelike_points,max_ds2_dt2,min_margin,final_x,lag_final,maxabs_rho_src,min_rho_src,maxabs_j_l,min_nec,max_neg_nec_sum,int_neg_nec_dt,int_neg_rho_dt,maxabs_tidal_radial,maxabs_tidal_angular,max_A,min_A,max_W,min_W,max_S,min_S,max_E,min_E,max_q,min_q
1.1,1.265,100.0,0.1,0.18,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,46,0.21527843560520443,-0.10000000000000009,1.819999999999998,1.9984014443252818e-15,3669.7531670668545,-3669.7531670668545,152.879222466879,-2826.7395499423833,5419.353514698994,128.7788109399122,93.92698684877249,1771.9944489394504,411.64925710339855,99.99999123459745,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9999990707516637,6.866227321766782e-06,0.9999999809800573,0.0003353501304665385
1.1,1.265,100.0,0.1,0.18,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,46,0.27231094784793775,-0.10000000000000009,1.819999999999998,1.9984014443252818e-15,3671.5713314315703,-3671.5713314315703,9.60528723406482,-2724.26353212275,5410.10591530924,128.58321524061427,95.45976740259152,1792.7861581076827,425.71474063496134,99.99999123459745,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9999546021312975,1.4053940594616066e-07,0.9999999809800573,0.0003353501304665385
1.1,1.265,100.0,0.1,0.18,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,46,0.274337358782514,-0.10000000000000009,1.819999999999998,1.9984014443252818e-15,3671.5826667102874,-3671.5826667102874,7.881835989701215,-2720.58948778109,5409.651631603376,128.57354402062384,95.46382445714251,1793.5508005518059,426.00183960578585,99.99999123459745,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9987289837369187,5.013602477621504e-09,0.9999999809800573,0.0003353501304665385
1.1,1.265,10000.0,0.3,0.35,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,57,0.3072065238133903,-0.10000000000000009,2.5,0.0,668.4702174797002,-668.4702174797002,16.414382459172003,-352.7007400821885,639.7439503276888,40.859531870172134,40.472389103895466,289.6179227886129,158.20297105691233,9981.217603827163,1.0,0.9999996932809454,0.0,0.999088948800398,0.999088948800398,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.1,1.265,10000.0,0.3,0.35,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,55,0.8441292225627821,-0.10000000000000009,2.5,0.0,574.5373801309369,-574.5373801309369,11.694465245054877,-401.85369238878377,756.9295237973481,37.65881800612985,40.802499915394534,267.9761467584596,192.3070726962293,9981.421969539864,1.0,0.9999996930170536,0.0,0.999088948800398,0.999088948800398,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
1.1,1.265,10000.0,0.3,0.35,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,56,5.697317201759461,-0.10000000000000009,2.500000000000002,-2.220446049250313e-15,679.9269095231839,-679.9269095231839,20.435440292155548,-363.96888699594444,703.163247445752,78.96518663477856,82.85138481603124,264.9655288943918,184.25754977264307,9981.397190881386,1.0,0.9999996920023368,0.0,0.999088948800398,0.999088948800398,0.9975273768433652,1.1065241847241225e-06,0.999991823888527,0.0003353501304664275
1.1,1.265,10000.0,0.3,0.18,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,45,0.43576945503111375,-0.10000000000000009,1.819999999999998,1.9984014443252818e-15,694.2300735522429,-694.2300735522429,9.628604249990326,-360.05739675523915,691.1391719968213,40.527004947284645,41.9819888401697,298.7388876354992,192.5261589151007,9999.871438847005,1.0,0.9999996932141961,0.0,0.999088948800398,0.999088948800398,0.9999990707516637,6.866227321766782e-06,0.9999999809800573,0.0003353501304665385
1.1,1.265,10000.0,0.3,0.18,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,46,7.661376651471244,-0.10000000000000009,1.819999999999998,1.9984014443252818e-15,694.7235034452993,-694.7235034452993,5.647414230479996,-356.46616676112365,690.3426766003273,40.427917879445985,42.116706876108786,302.72083587841047,194.97451039675826,9999.871438847005,1.0,0.9999996932141961,0.0,0.999088948800398,0.999088948800398,0.9999546021312975,1.4053940594616066e-07,0.9999999809800573,0.0003353501304665385
1.1,1.265,10000.0,0.3,0.18,0.10000000000000009,1.1,1.0,shift_first,fixed_V_baseline,False,46,8.580328126490187,-0.10000000000000009,1.819999999999998,1.9984014443252818e-15,694.7313132179518,-694.7313132179518,5.604134635587075,-356.36552622107706,690.3145138998058,40.42400587815682,42.11779753112424,302.86340894813526,195.06103112303563,9999.871438847005,1.0,0.9999996932141961,0.0,0.999088948800398,0.999088948800398,0.9987289837369187,5.013602477621504e-09,0.9999999809800573,0.0003353501304665385
1.1,1.265,10000.0,0.1,0.35,0.7500000000000001,1.1,0.35,shift_first,fixed_V_baseline,False,58,0.22330575269661512,-0.10000000000000009,2.5,0.0,1596.9503648693078,-1596.9503648693078,119.2778546262192,-1504.3530133834245,2944.4969415913815,83.17348684508886,78.44718681590355,801.4604269869868,745.1833512024212,9990.15256892995,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9992101340582635,4.539786870244589e-05,0.9998930302119844,0.0003353501304664275
1.1,1.265,10000.0,0.1,0.35,0.40000000000000013,1.1,0.7,shift_first,fixed_V_baseline,False,56,0.7597615827254387,-0.10000000000000009,2.5,0.0,4787.53469131713,-4787.53469131713,4.271443166171647,-556.1175672223876,1095.1493617800888,32.60391228125678,153.54467829776817,1694.9743918458116,1621.7438550769982,9994.943892084722,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,0.9975273768433652,6.144174602207286e-06,0.9999546021312975,0.0003353501304664275
