phase,zone,min_N,min_R,max_B,min_Tkk_geo,min_Tkk_total,max_Tkk_total,max_abs_flux_geo,max_abs_Kll,max_abs_Kth,max_abs_theta,max_abs_B_rate,max_abs_R_rate,max_abs_N_rate,max_abs_dlogB_dl,max_abs_dlogN_dl,max_abs_R_l,max_abs_R_ll,max_abs_R_t,max_abs_R_tt
hold,outer_shoulder,1.0,2.879236009777595,7.962897805459765,-2.1082673508010172e-05,-2.1082673508010172e-05,-1.1329998297987271e-05,4.331648416456105e-08,9.099383429204984e-16,3.7126198653754697e-07,0.08180299138193037,9.099383429204984e-16,3.7126198653754697e-07,4.440892098500626e-16,0.03172880957103881,0.0,0.9761860873368988,0.04191103478845726,1.06895088070047e-06,1.7595981952411497e-05
hold,shoulder,1.0,1.5852129194527784,7.998397976860842,-0.00019752382853356447,-0.00019752382853356447,0.00045242734318598997,5.483352369839484e-06,9.099383429204984e-16,0.0004923584063214239,0.12336908151261976,9.099383429204984e-16,0.0004923584063214239,4.440892098500626e-16,0.03172880957103881,0.0,0.9761860873368988,0.2512174378567913,0.0007835770850666002,0.012898448860286143
hold,matching,1.0,4.639062405271132,7.711345250894697,-9.362427058997474e-05,-9.362427058997474e-05,-1.2006099777817171e-05,1.1187358936320227e-16,7.5661136321962e-16,7.977962803264405e-16,0.05459302993561202,7.5661136321962e-16,7.977962803264405e-16,4.440892098500626e-16,0.22864340536451244,0.0,0.9938836681577925,0.01001792531004142,7.105427357601002e-15,1.4575235605340998e-14
hold,exterior,1.0,9.085202254215366,4.600304091566665,-0.0007824350566297141,-0.0007824350566297141,-9.537256540444959e-05,4.331943679963927e-16,9.039123914117649e-16,7.744621350096809e-16,0.12338806545852471,9.039123914117649e-16,7.744621350096809e-16,4.440892098500626e-16,0.3341860071090488,0.0,0.9974514395456993,0.0013335670464229565,7.105427357601002e-15,1.4575235605340998e-14
R_close,access,1.0,1.0,8.0,-0.002276637194100788,-0.002276637194100788,-2.5027184142490644e-07,0.0008489981906006407,4.440893387709526e-16,0.010401134640604909,0.06259359677950795,4.440893387709526e-16,0.010401134640604909,2.4926727348884015e-12,4.913999641115358e-06,0.0,0.23306438892802817,0.9981804941463417,0.010557186698146648,0.006360405445446539
R_close,support,1.0,1.0,8.0,-0.0067776967888696785,-0.0067776967888696785,0.0018185119374207212,0.0016945185354414086,4.441015048485806e-16,0.0788289979219318,0.23565470101902136,4.441015048485806e-16,0.0788289979219318,5.136160790009114e-07,0.00014789187013468637,0.0,0.5994193109949713,0.9981804941463417,0.08860757956316068,0.05338355261446139
R_close,inner_shoulder,1.0,1.1725946229094257,7.998397976860842,-0.008198504316107363,-0.008198504316107363,0.004311800916585244,0.00115822753914574,8.91469644180893e-16,0.11264649656541212,0.36281039828531386,8.91469644180893e-16,0.11264649656541212,0.000164963958743769,0.006885287360430504,0.0,1.4567925814430964,1.9870018246897523,0.1541155253301758,0.09285023127512845
R_close,outer_shoulder,1.0,2.8786708942115147,7.962897805459765,-2.5667635405987957e-05,-2.5667635405987957e-05,7.389326733439033e-06,8.520362997398675e-06,9.099383429204984e-16,7.302732312173772e-05,0.08241937718008184,9.099383429204984e-16,7.302732312173772e-05,0.00016079448006234287,0.03172880957103881,0.0,0.9761860873368988,0.04184780154024814,0.0002102434200965675,0.0001266656953501308
R_close,shoulder,1.0,1.1725946229094257,7.998397976860842,-0.008198504316107363,-0.008198504316107363,0.004311800916585244,0.00115822753914574,9.099383429204984e-16,0.11264649656541212,0.36281039828531386,9.099383429204984e-16,0.11264649656541212,0.000164963958743769,0.03172880957103881,0.0,1.4567925814430964,1.9870018246897523,0.1541155253301758,0.09285023127512845
R_close,matching,1.0,4.639062405271132,7.711345250894697,-9.362427058997474e-05,-9.362427058997474e-05,-1.2006099777817171e-05,1.1187358936320227e-16,7.5661136321962e-16,7.977962803264405e-16,0.05459302993561202,7.5661136321962e-16,7.977962803264405e-16,3.552713678800501e-15,0.22864340536451244,0.0,0.9938836681577925,0.01001792531004142,7.105427357601002e-15,1.4575235605340998e-14
R_close,exterior,1.0,9.085202254215366,4.600304091566665,-0.0007824350566297141,-0.0007824350566297141,-9.537256540444959e-05,4.331943679963927e-16,9.039123914117649e-16,7.744621350096809e-16,0.12338806545852471,9.039123914117649e-16,7.744621350096809e-16,4.440892098500626e-16,0.3341860071090488,0.0,0.9974514395456993,0.0013335670464229565,7.105427357601002e-15,1.4575235605340998e-14
comp,access,0.9999999972813745,1.0,8.0,-4.910079328289246e-05,-4.545569781562511e-05,0.008198357625344582,9.479901762642336e-07,4.3779064398185485e-09,1.1613892198046947e-05,0.00011720261644887877,4.3779064398185485e-09,1.1613892198046947e-05,4.182618700931957e-10,4.913999641115358e-06,1.1094343252045993e-07,0.0003759046216025297,0.007837814461927346,1.1614059115760966e-05,0.0004707357486475161
comp,support,0.9994396812210625,1.0,8.0,-0.0009907647386164977,-0.000988500238409175,0.008198357625344582,2.055114017451152e-06,4.3779064398185485e-09,9.634281812030228e-05,0.022428336479176376,4.3779064398185485e-09,9.634281812030228e-05,8.62269016115148e-05,0.00014789187013468637,0.008523761118178153,0.08998814104450403,0.5499668459222353,9.74780210456494e-05,0.003950934703913807
