case,phase,core_negative_exposure,phase_duration,phase_min_core_Tkk,phase_max_access_abs_Bt_over_B,phase_max_access_abs_Rt_over_R,phase_max_access_abs_flux
simultaneous_B8_w8_TB10_TR10,setup,0.016172594725566244,9.875,-0.002832948076691271,0.43435782383581617,0.004429042912979212,0.0006629423898993295
simultaneous_B8_w8_TB10_TR10,hold,0.07422460053173466,59.875,-0.0012396592990686374,6.708404541200252e-05,1.7906031810970597e-06,1.9974362630893966e-08
simultaneous_B8_w8_TB10_TR10,reset,0.01632755325173396,10.0,-0.002832948076691271,0.43435782383581617,0.004429042912979212,0.0006629423898993295
simultaneous_B8_w8_TB30_TR10,setup,0.22416822966197625,29.875,-0.027415651957314813,0.14488270173972498,0.004429042912979212,0.002197590199679838
simultaneous_B8_w8_TB30_TR10,hold,0.07422460053173466,59.875,-0.0012396592990686374,2.5160311416527747e-06,0.0,5.244633406860005e-09
simultaneous_B8_w8_TB30_TR10,reset,0.22432318717182936,30.0,-0.027415651957314813,0.14488270173972498,0.004429042912979212,0.002197590199679838
simultaneous_B8_w8_TB10_TR30,setup,0.01904804422200806,29.875,-0.0012396584079199058,0.43435782383581617,0.001476962099289384,0.0001318179005855319
simultaneous_B8_w8_TB10_TR30,hold,0.07422460053173466,59.875,-0.0012396592990686374,0.0,6.715774746766058e-08,5.993785018289985e-09
simultaneous_B8_w8_TB10_TR30,reset,0.019203001578694846,30.0,-0.0012396592990686374,0.43435782383581617,0.001476962099289384,0.0001318179005855319
stretch_sensitivity_B3_w8_TB100_TR10,B_setup,7.561006566818208e-07,99.875,-1.8585447270421543e-08,0.02125808676500992,8.881784196804717e-16,3.5245180391831448e-09
stretch_sensitivity_B3_w8_TB100_TR10,R_open,0.04297487658646483,9.875,-0.008815186052874065,5.198572247093594e-08,0.004429042912979212,0.0010541043567027625
stretch_sensitivity_B3_w8_TB100_TR10,hold,0.5278193815590028,59.875,-0.00881535501559921,0.0,1.7906031810970597e-06,4.2616038089545343e-07
stretch_sensitivity_B3_w8_TB100_TR10,R_close,0.044076774584942864,9.875,-0.00881535501559921,0.0,0.004429042912979212,0.0010541043567027625
stretch_sensitivity_B3_w8_TB100_TR10,B_reset,7.563587878973456e-07,100.0,-1.8585447270421543e-08,0.02125808676500992,1.833423606691449e-06,4.3635156217375056e-07
stretch_sensitivity_B5_w8_TB100_TR10,B_setup,5.566391149562635e-07,99.875,-1.8585447270421543e-08,0.03225002499022278,8.881784196804717e-16,4.959407566288477e-09
stretch_sensitivity_B5_w8_TB100_TR10,R_open,0.015470955571127338,9.875,-0.0031734669790346626,6.238286723500906e-08,0.004429042912979212,0.0006324626622502342
stretch_sensitivity_B5_w8_TB100_TR10,hold,0.1900149773612409,59.875,-0.003173527805615714,0.0,1.7906031810970597e-06,2.556962480354446e-07
stretch_sensitivity_B5_w8_TB100_TR10,R_close,0.015867638850579437,9.875,-0.003173527805615714,0.0,0.004429042912979212,0.0006324626622502342
stretch_sensitivity_B5_w8_TB100_TR10,B_reset,5.567320421939518e-07,100.0,-1.8585447270421543e-08,0.03225002499022278,1.833423606691449e-06,2.618109567818022e-07
stretch_sensitivity_B8_w8_TB100_TR10,B_setup,4.3737415466923897e-07,99.875,-1.8585447270421543e-08,0.0434670931728314,8.881784196804717e-16,6.373579204619784e-09
stretch_sensitivity_B8_w8_TB100_TR10,R_open,0.006043342019971616,9.875,-0.0012396355386854142,6.823126077485994e-08,0.004429042912979212,0.0003952891808617574
stretch_sensitivity_B8_w8_TB100_TR10,hold,0.07422460053173466,59.875,-0.0012396592990686374,0.0,1.7906031810970597e-06,1.5981016187697998e-07
stretch_sensitivity_B8_w8_TB100_TR10,R_close,0.006198296426007592,9.875,-0.0012396592990686374,0.0,0.004429042912979212,0.0003952891808617574
stretch_sensitivity_B8_w8_TB100_TR10,B_reset,4.3741045437156874e-07,100.0,-1.8585447270421543e-08,0.0434670931728314,1.833423606691449e-06,1.6363185483620402e-07
