B0,wB,aR,wR,l,B,R,rho,nec,Gkk,flare
1.0,0.75,1.0,0.75,4.949999999999999,1.0,5.05,-0.0005567279562012498,-0.0006179060955007646,-0.015529674001868441,0.007764837000934222
1.0,0.75,1.0,0.75,5.100000000000001,1.0,5.197114584074515,-0.0005123641612437185,-0.0005669038330596212,-0.014247847337856003,0.0071239236689280006
1.0,0.75,1.0,0.75,5.25,1.0,5.344389581607987,-0.00047254484280839304,-0.0005213166864433613,-0.013102117378593901,0.006551058689296951
1.0,0.75,1.0,0.75,5.400000000000002,1.0,5.491812087098395,-0.0004367084795340371,-0.0004804505018833209,-0.01207503813704136,0.00603751906852068
1.0,0.75,1.0,0.75,5.550000000000001,1.0,5.639370532249146,-0.0004043739524027029,-0.0004437143677140272,-0.011151758383221024,0.005575879191610511
1.0,0.75,1.0,0.75,5.699999999999999,1.0,5.7870545184921145,-0.00037512756323295117,-0.0004106032738251009,-0.01031958582871084,0.005159792914355421
1.0,0.75,1.0,0.75,5.850000000000001,1.0,5.93485467387366,-0.0003486123753506092,-0.0003806840016401492,-0.00956763250313486,0.00478381625156743
1.0,0.75,1.0,0.75,6.0,1.0,6.082762530298219,-0.0003245194145362597,-0.0003535835784544811,-0.008886524580020705,0.0044432622900103524
1.0,0.75,1.0,0.75,6.150000000000002,1.0,6.23077041785364,-0.0003025803787529991,-0.0003289797894808786,-0.008268163918501159,0.0041340819592505795
1.0,0.75,1.0,0.75,6.300000000000001,1.0,6.378871373526826,-0.00028256158375116375,-0.0003065933561220916,-0.007705531481860817,0.0038527657409304084
1.0,0.75,1.0,0.75,6.449999999999999,1.0,6.527059062089142,-0.000264258896199623,-0.0002861814409643637,-0.007192524100219089,0.0035962620501095444
1.0,0.75,1.0,0.75,6.600000000000001,1.0,6.675327707311456,-0.0002474935013558201,-0.0002675322560445932,-0.00672381896150398,0.00336190948075199
1.0,0.75,1.0,0.75,6.75,1.0,6.823672031978091,-0.00023210833659272542,-0.00025046055093242456,-0.006294760214586858,0.0031473801072934293
