X,r_mode,U,q,E,packet_max_norm,packet_fail_points,packet_max_gtt,edge_max_gtt,edge_fail_points,release_packet_max_norm,rho_H_packet_p95_abs,j_packet_p95_abs,rho_H_edge_p95_abs,j_edge_p95_abs,R3_packet_p95_abs,K_packet_p95_abs,label,scenario,V,lambda_factor
0.7,always_open,0.06901646277867134,0.975075573352886,0.5,-0.695959786778447,0,-1.0009538440489536,-36428.395252681,0,-36236.17085051779,0.2351611506400893,0.14816729910689652,0.21180908859837924,4.669538442456182e-07,11.82048868394721,33.31505502292644,v01_geometry_baseline,V10_lam115,10.0,11.5
1.0,always_open,0.06309961864724022,0.8411308951190848,0.10500058502026482,-0.7452417035591028,0,-1.0000000000002567,-8608.423337809756,0,-8519.772351586178,0.16710137597676766,0.010924426887864769,0.21184100994486893,5.210362933841845e-07,8.399431282773747,2.423908258755125,v01_geometry_baseline,V10_lam115,10.0,11.5
1.25,always_open,0.0625939739095466,0.5,0.019292242724332276,-0.7493079341059234,0,-1.0,-218.30841275969522,0,,0.13143380830639267,1.6556108878912439e-07,0.21192329401855545,2.0171743456181262e-05,6.606583785739078,3.331867935993965e-05,v01_geometry_baseline,V10_lam115,10.0,11.5
0.05,always_open,0.4583333349247685,0.9996646498695335,0.9904617115004255,-12924.86514265631,0,-10298.704357030776,-8.998492083941715,0,,0.03506456510063337,2.5229683417228546e-06,0.04508927532119135,3.108614711875959e-05,1.7625367425478062,0.012390530009883577,C20_Cp3_B6_wB12,V5_lam575,5.0,5.75
0.35,always_open,0.14571294748265748,0.9975273768433652,0.9241418199787563,-12827.456425942495,0,-12655.947240339647,-8.95632271197575,0,,0.03379132062884494,6.746859329098729e-07,0.045146728840610946,7.25199895255057e-05,1.6985373935383694,0.004304864913363186,C20_Cp3_B6_wB12,V5_lam575,5.0,5.75
0.7,always_open,0.08744892045338923,0.975075573352886,0.5,-9161.89789189256,0,-9176.830714072072,-8.525104584458848,0,-5588.614788211043,0.027622970247966432,9.368916271950949e-07,0.0457525018192251,0.0004169778583756933,1.3884818869986042,0.001953565112163447,C20_Cp3_B6_wB12,V5_lam575,5.0,5.75
1.0,always_open,0.08371191463535152,0.8411308951190848,0.10500058502026482,-5.5411415395076355,0,-6.351128218186929,-6.351128218186929,0,-5.5411415395076355,0.03433697457371408,0.001194512496835556,0.04946744707317362,0.001848943913977222,1.7262161108181,0.06825287550387978,C20_Cp3_B6_wB12,V5_lam575,5.0,5.75
1.25,always_open,0.08339241913488336,0.5,0.019292242724332276,-0.761827554519519,0,-1.0143194033401717,-3.0008543255067153,0,-2.49999853398111,0.09389149409508898,0.0021853284540571906,0.05970772105649179,0.00222373425421333,4.7251672559329165,0.10000405999548637,C20_Cp3_B6_wB12,V5_lam575,5.0,5.75
0.05,always_open,0.8750000030381945,0.9996646498695335,0.9904617115004255,-13435.708068520335,0,-3851.2550346671487,-9.177579463270254,0,,0.03506459028981953,4.615957611460712e-06,0.04508928030954994,5.871719361796937e-05,1.7625367425478062,0.022669430233164246,C20_Cp3_B6_wB12,V10_lam6,10.0,6.0
0.35,always_open,0.2150235715503087,0.9975273768433652,0.9241418199787563,-13869.231006343485,0,-13507.734251372867,-9.13418598738557,0,,0.03379131347931126,9.542309508043568e-07,0.04514674093619364,0.000105882639963782,1.6985373935383694,0.006088499890346473,C20_Cp3_B6_wB12,V10_lam6,10.0,6.0
0.7,always_open,0.092020881319016,0.975075573352886,0.5,-9942.746139387407,0,-9959.281199007319,-8.69055707218424,0,-6037.459761092829,0.027622970262971298,9.489786218606659e-07,0.04575255450164556,0.00043422875901041294,1.3884818869986042,0.0019732629975765976,C20_Cp3_B6_wB12,V10_lam6,10.0,6.0
1.0,always_open,0.08412876597360713,0.8411308951190848,0.10500058502026482,-5.639242463034668,0,-6.4573160358562625,-6.4573160358562625,0,-5.639242463034668,0.03433716942707055,0.0011889705846185171,0.049467220544860774,0.001841241904148418,1.7262161108181,0.06802641991569171,C20_Cp3_B6_wB12,V10_lam6,10.0,6.0
1.25,always_open,0.08344886153896548,0.5,0.019292242724332276,-0.7616150124545653,0,-1.0144487645305686,-3.030578627855124,0,-2.529044619482584,0.09389244854208548,0.0021727360764410464,0.059706766609495324,0.0022109856752476225,4.7251672559329165,0.0995797781110462,C20_Cp3_B6_wB12,V10_lam6,10.0,6.0
0.05,always_open,0.8750000030381945,0.9996646498695335,0.9904617115004255,-51758.356978145806,0,-42191.79022804019,-12.40384588656608,0,,0.03506456415226155,2.4089028153446527e-06,0.04508927850790434,4.98432570863421e-05,1.7625367425478062,0.011830655898731782,C20_Cp3_B6_wB12,V10_lam115,10.0,11.5
0.35,always_open,0.2150235715503087,0.9975273768433652,0.9241418199787563,-51289.79069865019,0,-50865.70280458182,-12.33724953922903,0,,0.03379132387151505,4.986895594576196e-07,0.04514673502952611,8.990939996502603e-05,1.6985373935383694,0.0031817846266140263,C20_Cp3_B6_wB12,V10_lam115,10.0,11.5
0.7,always_open,0.092020881319016,0.975075573352886,0.5,-34831.40495231073,0,-34847.940011930645,-11.658905982322649,0,-19857.86451207906,0.02762296968851796,5.296079341597347e-07,0.04575238551446612,0.00036996407967437243,1.3884818869986042,0.0010555277157919107,C20_Cp3_B6_wB12,V10_lam115,10.0,11.5
1.0,always_open,0.08412876597360713,0.8411308951190848,0.10500058502026482,-7.502104208257235,0,-8.32017778107883,-8.32017778107883,0,-7.502104208257235,0.03433972721912067,0.0010253625679842477,0.049459615306691095,0.0016001247609201462,1.7262161108181,0.05992904180556083,C20_Cp3_B6_wB12,V10_lam115,10.0,11.5
1.25,always_open,0.08344886153896548,0.5,0.019292242724332276,-0.7635945473112409,0,-1.0164282993872442,-3.5233971951921843,0,-3.0218631868196444,0.09390808144828763,0.001969408567404441,0.05969113370329319,0.0020049707589281014,4.7251672559329165,0.09235345136059822,C20_Cp3_B6_wB12,V10_lam115,10.0,11.5
0.05,always_open,0.45833335879629566,0.9996646498695335,0.9904617115004255,-12924.870163684334,0,-10298.704056975306,-8.998492083941715,0,,0.03506456511331002,2.522969103869643e-06,0.04507836803216458,3.118419720485207e-05,1.7625367431296386,0.012390501163081317,C20_Cp3_B6_wB6,V5_lam575,5.0,5.75
0.35,always_open,0.1457143241709722,0.9975273768433652,0.9241418199787563,-12827.454778705516,0,-12655.958306416118,-8.95632271197575,0,,0.0337913207196802,6.747044348592601e-07,0.04513583009800368,7.274947280760064e-05,1.698537398065009,0.004304904481903239,C20_Cp3_B6_wB6,V5_lam575,5.0,5.75
0.7,always_open,0.08746186539822523,0.975075573352886,0.5,-9161.91970850871,0,-9176.841664964386,-8.525104584458848,0,-5588.681780194493,0.027622972426167233,9.379433809438326e-07,0.04574168597924079,0.0004183591517227505,1.3884819964476207,0.0019541716525355254,C20_Cp3_B6_wB6,V5_lam575,5.0,5.75
1.0,always_open,0.08376338407677918,0.8411308951190848,0.10500058502026482,-5.543107569698849,0,-6.351128218268002,-6.351128218268002,0,-5.543107569698849,0.034329655388840544,0.0011992632648994493,0.04945691454227307,0.0018560588598450025,1.7258485816281248,0.06833271378142959,C20_Cp3_B6_wB6,V5_lam575,5.0,5.75
1.25,always_open,0.08351688428461411,0.5,0.019292242724332276,-0.7628743650625548,0,-1.0143194033401717,-3.0008543255077282,0,-2.500337332789956,0.0939029481070639,0.002196202127778782,0.059696267044517026,0.0022347817880862533,4.725760255812338,0.10015738399246603,C20_Cp3_B6_wB6,V5_lam575,5.0,5.75
0.05,always_open,0.8750000486111099,0.9996646498695335,0.9904617115004255,-13435.726368300157,0,-3851.253941076551,-9.177579463270254,0,,0.03506459030508168,4.615959005864755e-06,0.04507837302052367,5.890239119808228e-05,1.7625367431296386,0.022669377455718467,C20_Cp3_B6_wB6,V10_lam6,10.0,6.0
0.35,always_open,0.21502560308177832,0.9975273768433652,0.9241418199787563,-13869.227419338838,0,-13507.734990493147,-9.13418598738557,0,,0.033791313570927406,9.54257118725793e-07,0.045135842193814946,0.00010621768823533607,1.698537398065009,0.00608855585332028,C20_Cp3_B6_wB6,V10_lam6,10.0,6.0
0.7,always_open,0.09203450304500485,0.975075573352886,0.5,-9942.770296847022,0,-9959.293324890497,-8.69055707218424,0,-6037.533941072144,0.027622972441187055,9.500443867715549e-07,0.04574173869923907,0.0004356671735752084,1.3884819964476207,0.0019738756537271245,C20_Cp3_B6_wB6,V10_lam6,10.0,6.0
1.0,always_open,0.0841804917119506,0.8411308951190848,0.10500058502026482,-5.641228122040102,0,-6.457316035938145,-6.457316035938145,0,-5.641228122040102,0.03432985053129476,0.0011936998163736999,0.049456687584526336,0.0018483274840645832,1.7258485816281248,0.06810599329847046,C20_Cp3_B6_wB6,V10_lam6,10.0,6.0
1.25,always_open,0.08357341093031372,0.5,0.019292242724332276,-0.7626632405005189,0,-1.0144487645305686,-3.0305786278561384,0,-2.529383877064322,0.0939039054612693,0.00218355275526394,0.05969530969031144,0.002221975491180203,4.725760255812338,0.09973245160864232,C20_Cp3_B6_wB6,V10_lam6,10.0,6.0
