t,phase,access_mean_Tkk_total,access_max_abs_flux,access_max_abs_Kll,access_max_abs_Kth,access_max_abs_theta,access_min_N,access_min_R,support_mean_Tkk_total,support_max_abs_flux,support_max_abs_Kll,support_max_abs_Kth,support_max_abs_theta,support_min_N,support_min_R,shoulder_mean_Tkk_total,shoulder_max_abs_flux,shoulder_max_abs_Kll,shoulder_max_abs_Kth,shoulder_max_abs_theta,shoulder_min_N,shoulder_min_R,matching_mean_Tkk_total,matching_max_abs_flux,matching_max_abs_Kll,matching_max_abs_Kth,matching_max_abs_theta,matching_min_N,matching_min_R,coreline_Tkk_total,coreline_Tkk_geo,coreline_src,proper_half_length_R2,proper_half_length_R3
307.125,B_reset,-6.097781823330698e-06,9.525874715624817e-08,0.016508569289993124,0.0,0.00014502247609815363,1.0,1.0,-0.0003889216433257512,2.2539257582441795e-05,0.016508569289993124,4.4404662635441694e-16,0.034314105352357044,1.0,1.0,-0.0005515521357835988,0.00021942669995998496,0.01650784034595331,5.2387374079428875e-16,0.334097673728219,1.0,1.1725122955710758,-0.00015838764128526492,5.472458948188689e-05,0.01637273043305642,5.518233027606779e-16,0.08400425035501166,1.0,4.639062405271132,-5.850486962943879e-09,-5.850486962943879e-09,0.0,9.795769490443996,14.604021237624695
308.09999999999997,B_reset,-6.29970143378498e-06,9.891982994999638e-08,0.016866378984722746,0.0,0.00014740132736822874,1.0,1.0,-0.0004018321905586838,2.3405505027853786e-05,0.016866378984722746,4.4404662635441694e-16,0.03487696742870825,1.0,1.0,-0.0005708904111469558,0.00022785901274854434,0.0168656220256972,5.2387374079428875e-16,0.33957730099800043,1.0,1.1725122955710758,-0.00016337208201293437,5.6812484354692324e-05,0.016725338464552233,5.518233027606779e-16,0.08537067700443278,1.0,4.639062405271132,-6.043996081395164e-09,-6.043996081395164e-09,0.0,9.637687245534993,14.36839021732354
309.075,B_reset,-6.512830696199671e-06,1.02722242567917e-07,0.017226022296920385,0.0,0.00014987161093523314,1.0,1.0,-0.00041545555747119433,2.4305192107730726e-05,0.017226022296920385,0.0,0.03546146326264315,1.0,1.0,-0.0005911629250077643,0.00023661676848464694,0.017225236241481763,0.0,0.34526751693729035,1.0,1.1725122955710758,-0.00016854405727368101,5.897978646235279e-05,0.017079580794998835,0.0,0.08678923263253895,1.0,4.639062405271132,-6.24827501544134e-09,-6.24827501544134e-09,0.0,9.478840414759706,14.131619536158611
310.05,B_reset,-6.737873356340192e-06,1.0667232899671639e-07,0.017587400407133524,0.0,0.00015243686725899058,1.0,1.0,-0.00042983633507839207,2.523981982922684e-05,0.017587400407133524,4.4404662635441694e-16,0.03606843055166443,1.0,1.0,-0.0006124225413810414,0.00024571457057436115,0.01758658412531474,5.2387374079428875e-16,0.3511764741719717,1.0,1.1725122955710758,-0.00017391071038839876,6.122997800808908e-05,0.017435349760553474,5.518233027606779e-16,0.08826190548791875,1.0,4.639062405271132,-6.464001028883004e-09,-6.464001028883004e-09,0.0,9.319335565338214,13.89386803893131
311.025,B_reset,-6.975583535235633e-06,1.1077667615424628e-07,0.017950402655216295,0.0,0.0001551007952303132,1.0,1.0,-0.0004450222929240568,2.6210946675283223e-05,0.017950402655216295,4.4404662635441694e-16,0.03669874447850535,1.0,1.0,-0.0006347254247614595,0.0002551675811382006,0.01794955496665039,5.2387374079428875e-16,0.3573126900188615,1.0,1.1725122955710758,-0.00017947934254996414,6.35666664875461e-05,0.01779252552807691,5.518233027606779e-16,0.08979077068529169,1.0,4.639062405271132,-6.691899909205823e-09,-6.691899909205823e-09,0.0,9.159279935968907,13.655295571321535
312.0,B_reset,-7.226769504513875e-06,1.150421140294655e-07,0.01831490530721071,0.0,0.00015786725812896976,1.0,1.0,-0.0004610646161481888,2.7220188636148565e-05,0.01831490530721071,4.4404662635441694e-16,0.037353319120737756,1.0,1.0,-0.0006581312457993469,0.00026499152126038654,0.01831402497927365,5.2387374079428875e-16,0.36368506018750035,1.0,1.1725122955710758,-0.00018525739498865602,6.599358357720379e-05,0.01815097486331598,5.518233027606779e-16,0.09137799326420966,1.0,4.639062405271132,-6.932749700705454e-09,-6.932749700705454e-09,0.0,8.998781326332077,13.416062815186187
312.97499999999997,B_reset,-7.492297735665519e-06,1.1947571400136507e-07,0.01868077023048607,0.0,0.00016074028956344688,1.0,1.0,-0.0004780181596412579,2.8269218814223444e-05,0.01868077023048607,4.4404662635441694e-16,0.038033108856062585,1.0,1.0,-0.0006827033976472913,0.00027520266703513855,0.018679855976450388,5.2387374079428875e-16,0.3703028724381142,1.0,1.1725122955710758,-0.00019125242701965856,6.851458289040264e-05,0.01851054981003965,5.518233027606779e-16,0.09302583120703234,1.0,4.639062405271132,-7.187384569451449e-09,-7.187384569451449e-09,0.0,8.837947986593509,13.176331123857688
313.95,B_reset,-7.77309723855412e-06,1.2408478497923978e-07,0.01904784347041787,0.0,0.00016372409934359774,1.0,1.0,-0.0004959417202207609,2.9359766506742363e-05,0.01904784347041787,0.0,0.03873910975171086,1.0,1.0,-0.0007085092229750753,0.0002858178405935725,0.01904689394763321,0.0,0.37717582008297834,1.0,1.1725122955710758,-0.00019747208938658247,7.113363639943694e-05,0.0188710862739302,0.0,0.09473663838602411,1.0,4.639062405271132,-7.456698973562492e-09,-7.456698973562492e-09,0.0,8.676888506908009,12.936262357442375
314.925,B_reset,-8.070164204136727e-06,1.2887686695329758e-07,0.019415953721489163,0.0,0.00016682307922786507,1.0,1.0,-0.0005148983277461178,3.0493615682382194e-05,0.019415953721489163,4.4404662635441694e-16,0.039472360924156624,1.0,1.0,-0.0007356202515115146,0.000296854395155115,0.019414967529617123,5.2387374079428875e-16,0.3843140151967195,1.0,1.1725122955710758,-0.00020392409225076697,7.385482928057493e-05,0.019232402504713357,5.518233027606779e-16,0.09651286740395928,1.0,4.639062405271132,-7.741652242876373e-09,-7.741652242876373e-09,0.0,8.515711706922977,12.696018718118992
315.9,B_reset,-8.384566965746424e-06,1.3385972148687065e-07,0.01978491068571718,0.0,0.00017004180847600555,1.0,1.0,-0.0005349555560427557,3.1672602729930125e-05,0.01978491068571718,4.4404662635441694e-16,0.040233945852797985,1.0,1.0,-0.0007641124478027472,0.00030833019303133316,0.019783886365033542,5.2387374079428875e-16,0.3917280013763022,1.0,1.1725122955710758,-0.00021061616710902383,7.668235291669817e-05,0.01959429747006426,5.518233027606779e-16,0.09835707228641583,1.0,4.639062405271132,-8.04327326964227e-09,-8.04327326964227e-09,0.0,8.354526525281994,12.455762585437206
