t,phase,core_line_target_Tkk,core_line_nmc_Tkk,core_line_infra_Tkk,access_mean_target_Tkk,access_mean_nmc_Tkk,access_mean_infra_Tkk,support_mean_target_Tkk,support_mean_nmc_Tkk,support_mean_infra_Tkk,support_ring_mean_target_Tkk,support_ring_mean_nmc_Tkk,support_ring_mean_infra_Tkk,shoulder_mean_target_Tkk,shoulder_mean_nmc_Tkk,shoulder_mean_infra_Tkk
225.46875,comp,0.005175318470592673,0.0,0.005175318470592673,0.005160619509034206,0.0,0.005160619509034206,0.004387610948584874,0.0,0.004387610948584874,0.0031787294403472534,0.0,0.0031787294403472534,0.0004668061735976886,0.0,0.0004668061735976886
226.6875,comp,0.006496126025047685,0.0,0.006496126025047685,0.0064800193289093,0.0,0.0064800193289093,0.00556630464392805,0.0,0.00556630464392805,0.004132527196070432,0.0,0.004132527196070432,0.0006245926277279424,0.0,0.0006245926277279424
227.90625,comp,0.007493731349316197,0.0,0.007493731349316197,0.007476561391912116,0.0,0.007476561391912116,0.006456571434204523,0.0,0.006456571434204523,0.004852929713411837,0.0,0.004852929713411837,0.0007436443288556588,0.0,0.0007436443288556588
229.125,comp,0.008071832487145108,0.0,0.008071832487145108,0.008054046381718803,0.0,0.008054046381718803,0.0069724710898064046,0.0,0.0069724710898064046,0.005270394733405499,0.0,0.005270394733405499,0.0008125818364127661,0.0,0.0008125818364127661
230.34375,comp,0.008177546861401262,0.0,0.008177546861401262,0.008159648084163132,0.0,0.008159648084163132,0.007066810999635912,0.0,0.007066810999635912,0.005346734394075654,0.0,0.005346734394075654,0.0008251838565583823,0.0,0.0008251838565583823
231.5625,comp,0.007801411274071335,0.0,0.007801411274071335,0.007783913387236381,0.0,0.007783913387236381,0.00673114617017053,0.0,0.00673114617017053,0.005075115084636603,0.0,0.005075115084636603,0.0007803394296134054,0.0,0.0007803394296134054
232.78125,comp,0.006977381906261912,0.0,0.006977381906261912,0.006960762281087427,0.0,0.006960762281087427,0.005995779225286578,0.0,0.005995779225286578,0.004480057417919865,0.0,0.004480057417919865,0.0006820382890643246,0.0,0.0006820382890643246
234.0,comp,0.005782834318199426,0.0,0.005782834318199426,0.005767487858022686,0.0,0.005767487858022686,0.004929760406879503,0.0,0.004929760406879503,0.003617436327220034,0.0,0.003617436327220034,0.000539403879062496,0.0,0.000539403879062496
235.21875,comp,0.004338563449230231,0.0,0.004338563449230231,0.004324756312506148,0.0,0.004324756312506148,0.0036408875761426863,0.0,0.0036408875761426863,0.0025744812653991874,0.0,0.0025744812653991874,0.00036675393569920485,0.0,0.00036675393569920485
236.4375,comp,0.0028087836178205287,0.0,0.0028087836178205287,0.0027966069411593745,0.0,0.0027966069411593745,0.0022757062151901246,0.0,0.0022757062151901246,0.001469776456302797,0.0,0.001469776456302797,0.000183663041459727,0.0,0.000183663041459727
237.65625,comp,0.0014011285215564141,0.0,0.0014011285215564141,0.0013904521427614697,0.0,0.0013904521427614697,0.0010195094285322698,0.0,0.0010195094285322698,0.00045326112181747017,0.0,0.00045326112181747017,1.500375569494208e-05,0.0,1.500375569494208e-05
238.875,comp,0.000366651237143862,0.0,0.000366651237143862,0.000357077418243924,0.0,0.000357077418243924,9.633794328854514e-05,0.0,9.633794328854514e-05,-0.0002937704191937926,0.0,-0.0002937704191937926,-0.0001090486858673933,0.0,-0.0001090486858673933
240.09375,B_reset,-3.0856816928358932e-06,0.0,-3.0856816928358932e-06,-1.2264110154753952e-05,0.0,-1.2264110154753952e-05,-0.00023357330988313895,0.0,-0.00023357330988313895,-0.0005607097975368149,0.0,-0.0005607097975368149,-0.00015340301298446215,0.0,-0.00015340301298446215
241.3125,B_reset,-3.0856936270679784e-06,0.0,-3.0856936270679784e-06,-1.2004265439984833e-05,0.0,-1.2004265439984833e-05,-0.00022488659165471783,0.0,-0.00022488659165471783,-0.0005481996108382941,0.0,-0.0005481996108382941,-0.00014880668147300351,0.0,-0.00014880668147300351
242.53125,B_reset,-3.0858460359438136e-06,0.0,-3.0858460359438136e-06,-1.1295136466578341e-05,0.0,-1.1295136466578341e-05,-0.0002011717982844304,0.0,-0.0002011717982844304,-0.0005140513089545605,0.0,-0.0005140513089545605,-0.00013622281961281514,0.0,-0.00013622281961281514
244.96875,B_reset,-3.087208082674854e-06,0.0,-3.087208082674854e-06,-8.540121851529656e-06,0.0,-8.540121851529656e-06,-0.00010899280807885776,0.0,-0.00010899280807885776,-0.0003813695063240128,0.0,-0.0003813695063240128,-8.728204058403858e-05,0.0,-8.728204058403858e-05
246.1875,B_reset,-3.0887166020675844e-06,0.0,-3.0887166020675844e-06,-6.5026068712345666e-06,0.0,-6.5026068712345666e-06,-4.079082106704844e-05,0.0,-4.079082106704844e-05,-0.0002832339189580748,0.0,-0.0002832339189580748,-5.105363183056097e-05,0.0,-5.105363183056097e-05
247.40625,B_reset,-3.090964307428494e-06,0.0,-3.090964307428494e-06,-4.0325431353110595e-06,0.0,-4.0325431353110595e-06,4.1914580793499535e-05,0.0,4.1914580793499535e-05,-0.00016425783948534206,0.0,-0.00016425783948534206,-7.1072237605116665e-06,0.0,-7.1072237605116665e-06
248.625,B_reset,-3.0940838755697544e-06,0.0,-3.0940838755697544e-06,-1.1369138977181675e-06,0.0,-1.1369138977181675e-06,0.00013889771162768727,0.0,0.00013889771162768727,-2.4775492282665945e-05,0.0,-2.4775492282665945e-05,4.4440660509925354e-05,0.0,4.4440660509925354e-05
249.84375,B_reset,-3.098202353482568e-06,0.0,-3.098202353482568e-06,2.1762014349450947e-06,0.0,2.1762014349450947e-06,0.00024989588208879467,0.0,0.00024989588208879467,0.000134825901267458,0.0,0.000134825901267458,0.00010345296874129733,0.0,0.00010345296874129733
251.0625,B_reset,-3.10344182109134e-06,0.0,-3.10344182109134e-06,5.8976444026987505e-06,0.0,5.8976444026987505e-06,0.00037461000838553185,0.0,0.00037461000838553185,0.000314106950483338,0.0,0.000314106950483338,0.00016977242420914692,0.0,0.00016977242420914692
252.28125,B_reset,-3.1099200803361853e-06,0.0,-3.1099200803361853e-06,1.0017197354190787e-05,0.0,1.0017197354190787e-05,0.0005127053155065185,0.0,0.0005127053155065185,0.0005125770578003027,0.0,0.0005125770578003027,0.00024322188849679004,0.0,0.00024322188849679004
253.5,B_reset,-3.117751362526141e-06,0.0,-3.117751362526141e-06,1.4523606043938392e-05,0.0,1.4523606043938392e-05,0.000663812133208656,0.0,0.000663812133208656,0.0007296955142827355,0.0,0.0007296955142827355,0.0003236047804974822,0.0,0.0003236047804974822
254.71875,B_reset,-3.1270470474535264e-06,0.0,-3.1270470474535264e-06,1.9404604923106052e-05,0.0,1.9404604923106052e-05,0.0008275267829610651,0.0,0.0008275267829610651,0.0009648727259581053,0.0,0.0009648727259581053,0.0004107055495750685,0.0,0.0004107055495750685
255.9375,B_reset,-3.1379163897589327e-06,0.0,-3.1379163897589327e-06,2.464694506811373e-05,0.0,2.464694506811373e-05,0.0010034125536805213,0.0,0.0010034125536805213,0.0012174715680799567,0.0,0.0012174715680799567,0.0005042902007399919,0.0,0.0005042902007399919
257.15625,B_reset,-3.150467249174924e-06,0.0,-3.150467249174924e-06,3.0236424679027567e-05,0.0,3.0236424679027567e-05,0.001191000763758539,0.0,0.001191000763758539,0.0014868088638485375,0.0,0.0014868088638485375,0.0006041068696155403,0.0,0.0006041068696155403
258.375,B_reset,-3.164806822963331e-06,0.0,-3.164806822963331e-06,3.615792206757001e-05,0.0,3.615792206757001e-05,0.001389791906563233,0.0,0.001389791906563233,0.001772156983578323,0.0,0.001772156983578323,0.0007098864448935548,0.0,0.0007098864448935548
259.59375,B_reset,-3.181042379513832e-06,0.0,-3.181042379513832e-06,4.239543104390904e-05,0.0,4.239543104390904e-05,0.0015992568763012653,0.0,0.0015992568763012653,0.0020727455598001203,0.0,0.0020727455598001203,0.0008213432359088844,0.0,0.0008213432359088844
260.8125,B_reset,-3.199281993584794e-06,0.0,-3.199281993584794e-06,4.893209860085603e-05,0.0,4.893209860085603e-05,0.001818838270845182,0.0,0.001818838270845182,0.00238776331331889,0.0,0.00238776331331889,0.0009381756828940636,0.0,0.0009381756828940636
262.03125,B_reset,-3.2196352841952357e-06,0.0,-3.2196352841952357e-06,5.5750264784887924e-05,0.0,5.5750264784887924e-05,0.002047951767869054,0.0,0.002047951767869054,0.002716359984815079,0.0,0.002716359984815079,0.0010600671074107572,0.0,0.0010600671074107572
264.46875,B_reset,-3.267133554517669e-06,0.0,-3.267133554517669e-06,7.015667205797277e-05,0.0,7.015667205797277e-05,0.002532311917578396,0.0,0.002532311917578396,0.003410706425355944,0.0,0.003410706425355944,0.001317689345153385,0.0,0.001317689345153385
265.6875,B_reset,-3.2945122153868297e-06,0.0,-3.2945122153868297e-06,7.770594551640092e-05,0.0,7.770594551640092e-05,0.002786268656500978,0.0,0.002786268656500978,0.003774579518261043,0.0,0.003774579518261043,0.0014527184727116853,0.0,0.0014527184727116853
266.90625,B_reset,-3.324473449693529e-06,0.0,-3.324473449693529e-06,8.54588753680192e-05,0.0,8.54588753680192e-05,0.0030471808702275146,0.0,0.0030471808702275146,0.004148282680737828,0.0,0.004148282680737828,0.0015914049466008938,0.0,0.0015914049466008938
268.125,B_reset,-3.357145931663463e-06,0.0,-3.357145931663463e-06,9.339443272676433e-05,0.0,9.339443272676433e-05,0.003314352557585613,0.0,0.003314352557585613,0.004530802993556307,0.0,0.004530802993556307,0.0017333689744212575,0.0,0.0017333689744212575
269.34375,B_reset,-3.392664516192694e-06,0.0,-3.392664516192694e-06,0.00010149105967921556,0.0,0.00010149105967921556,0.0035870703596412885,0.0,0.0035870703596412885,0.0049211020129027614,0.0,0.0049211020129027614,0.0018782208432096613,0.0,0.0018782208432096613
270.5625,B_reset,-3.431171084197426e-06,0.0,-3.431171084197426e-06,0.00010972672069961434,0.0,0.00010972672069961434,0.0038646053278374847,0.0,0.0038646053278374847,0.005318118258678102,0.0,0.005318118258678102,0.0020255618757022255,0.0,0.0020255618757022255
