A_open_ring_comp,A_support_setup_reset,A_shoulder_setup_reset,support_full_residual_ratio,support_ring_full_residual_ratio,shoulder_full_residual_ratio,access_full_residual_ratio,core_full_residual_ratio,support_ring_setup_reset_ratio,shoulder_setup_reset_ratio,support_setup_reset_ratio,support_ring_open_residual_neg_fraction,shoulder_open_neg_fraction_carried_by_nmc,score
0.0005,0.02,0.011,2.033850554806677,0.9624742025765329,1.1367551351457004,2.6201534568051192,2.7930304578861613,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,1.0981702488298046
0.0015,0.02,0.01,2.042404619902824,0.966628773275192,0.9898064230096636,2.6240487083738593,2.79303099652358,1.0122999498212168,1.0068495282770524,1.9688511635621102,1.5535096513620636,0.42206662750438684,1.0991825515187144
0.002,0.02,0.013,2.0470430753482294,0.9703046952150799,1.446713272019797,2.6259963491759324,2.793031265875205,1.0137231053568498,1.463412567204687,1.9691625392269303,1.5535096513620636,0.42206662750438684,1.1013776726385085
0.0005,0.02,0.012,2.033953732439879,0.9629305846842792,1.2891319995169481,2.6201534610936514,2.7930304578955654,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,1.1105551909004225
0.0015,0.02,0.013,2.042714354123036,0.9679987484629132,1.4467132546212487,2.624048721244683,2.7930309965517934,1.0137231053568498,1.463412567204687,1.9691625392269303,1.5535096513620636,0.42206662750438684,1.1229181490742888
0.001,0.02,0.01,2.0380759993379156,0.9643232957537868,0.989806406670636,2.6221010804452236,2.793030727200168,1.0122999498212168,1.0068495282770524,1.9688511635621102,1.5535096513620636,0.42206662750438684,1.1241641206107906
0.0,0.02,0.011,2.0295219006888607,0.9601686964810734,1.1367551184480413,2.6182058288756127,2.7930301885627498,1.012774278591805,1.153722556967415,1.96895495382379,1.5535096513620636,0.42206662750438684,1.1270766724777377
0.006,0.02,0.014,2.0817763950813055,0.9892122494864105,1.609130112651493,2.6415773769240443,2.793033420471905,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.1281355237179964
0.0055,0.02,0.014,2.0774476403016435,0.986905726079896,1.609130094914754,2.639629748991924,2.7930331511484927,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.131851313641987
0.005,0.02,0.014,2.073118885521982,0.9845992574888529,1.609130077178015,2.637682121059803,2.793032881825081,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.1377428841790058
0.0,0.02,0.012,2.0296250447686344,0.9606249404559054,1.2891319824662044,2.618205833163273,2.793030188572154,1.0132486637669955,1.3059845620945536,1.9690587457120508,1.5535096513620636,0.42206662750438684,1.1390399039267267
0.0045,0.02,0.014,2.06879013074232,0.9822928437113269,1.609130059441276,2.6357344931276816,2.7930326125016696,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.1458100828687723
0.001,0.02,0.013,2.038385632897843,0.9656928565041497,1.4467132372227012,2.6221010933134328,2.7930307272283814,1.0137231053568498,1.463412567204687,1.9691625392269303,1.5535096513620636,0.42206662750438684,1.1466329199950487
0.0005,0.02,0.01,2.033747378773007,0.962017873004525,0.9898063903316092,2.6201534525165875,2.793030457876756,1.0122999498212168,1.0068495282770524,1.9688511635621102,1.5535096513620636,0.42206662750438684,1.1513190319708726
0.004,0.02,0.014,2.0644613759626584,0.9799864847453639,1.6091300417045369,2.6337868651955607,2.7930323431782575,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.1560527572618775
0.0035,0.02,0.014,2.0601326211829964,0.9776801805890104,1.6091300239677977,2.63183923726344,2.7930320738548455,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.1684707549197761
0.0005,0.02,0.013,2.0340569116726495,0.9633870193368365,1.4467132198241532,2.6201534653821836,2.7930304579049694,1.0137231053568498,1.463412567204687,1.9691625392269303,1.5535096513620636,0.42206662750438684,1.172521833054827
0.0,0.02,0.01,2.0294187582080983,0.959712505025455,0.989806373992582,2.6182058245879523,2.7930301885533444,1.0122999498212168,1.0068495282770524,1.9688511635621102,1.5535096513620636,0.42206662750438684,1.180647133345985
0.003,0.02,0.014,2.055803866403335,0.9753739312403122,1.609130006231059,2.629891609331319,2.793031804531434,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.1830639234148002
0.0025,0.02,0.014,2.051475111623673,0.9730677366973159,1.6091299884943198,2.627943981399198,2.7930315352080224,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.1998321103301388
0.0,0.02,0.013,2.0297281904474564,0.9610812369590206,1.446713202425605,2.6182058374509336,2.793030188581558,1.0137231053568498,1.463412567204687,1.9691625392269303,1.5535096513620636,0.42206662750438684,1.200584735918529
0.002,0.02,0.014,2.047146356844011,0.9707615969580682,1.6091299707575812,2.6259963534670776,2.7930312658846104,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.2187751632598502
0.0015,0.02,0.014,2.0428176020643494,0.9684555120206151,1.6091299530208416,2.6240487255349563,2.7930309965611984,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.2398929298088643
0.001,0.02,0.014,2.0384888472846874,0.9661494818830033,1.6091299352841029,2.6221010976028354,2.793030727237787,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.2631852575929696
0.0005,0.02,0.014,2.0341600925050254,0.9638435065432798,1.6091299175473641,2.620153469670714,2.7930304579143748,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.288651994238817
0.006,0.02,0.015,2.081879946618202,0.9896703096884157,1.7764467132789987,2.6415773812221617,2.793033420481309,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.3078818294692591
0.0055,0.02,0.015,2.0775511582835513,0.9873636480285506,1.7764466952044102,2.639629753289169,2.7930331511578967,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.311172674377537
0.0,0.02,0.014,2.029831337725364,0.961537585999491,1.609129899810625,2.6182058417385936,2.793030188590963,1.0141976033714326,1.625634736089214,1.9692663343684684,1.5535096513620636,0.42206662750438684,1.3162929873839269
0.005,0.02,0.015,2.0732223699489007,0.985057041190599,1.776446677129822,2.6376821253561773,2.793032881834485,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.3166395669177513
0.0045,0.02,0.015,2.06889358161425,0.9827504891726062,1.776446659055234,2.6357344974231847,2.7930326125110736,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.3242823546022071
0.0,0.022,0.011,2.298570265526229,1.0912531578836608,1.1367560714011125,2.7508856865124582,2.793072499473569,1.1490769568224586,1.1537235092822935,2.239760186446013,1.5535096513620636,0.42206662750438684,1.3325563452002775
0.004,0.02,0.015,2.0645647932795996,0.9804439919726179,1.7764466409806456,2.633786869490193,2.7930323431876616,1.0146721578208093,1.7927239793544432,1.969370131136702,1.5535096513620636,0.42206662750438684,1.3341008849540794
