offset,gtt_positive_points,min_rho_src,maxabs_rho_src,min_nec,max_neg_nec_sum,int_neg_nec_dt,int_neg_rho_dt,maxabs_tidal_radial,maxabs_tidal_angular,max_A,min_A,max_W,min_W,max_S,min_S,V,lapse_lambda,C0,Delta,w_release,L_beta,L_q,release_gap,label,min_ds2_dt2,max_ds2_dt2,min_dtaudt,max_dtaudt
0.25,0,-567.9542665086799,567.9542665086799,-343.92677170210254,643.6719990092188,18.948451329813167,19.599951831132874,294.4880736254575,171.9349804890818,99.9699299120738,1.0,0.9999996940467851,0.0,0.9685856287945586,0.9685856287945583,2.0,2.3,100.0,0.3,0.35,0.4,1.1,0.7,highV_moderate_wall,-52816.0228584787,43.83684820576903,0.0,229.81736848741153
-0.25,0,-551.7891198448064,551.7891198448064,-360.5631299806932,627.8534789116045,34.034484564611105,33.15396753327374,272.4098805513484,153.8588186723383,99.7044938006953,1.0,0.9999996936385755,0.0,0.9685856287945585,0.9685856287945583,2.0,2.3,100.0,0.3,0.35,0.4,1.1,0.7,highV_moderate_wall,-52400.94767439685,291.3642700590535,0.0,228.91253280324528
0.35,0,-570.5505534742576,570.5505534742576,-334.1466922130181,632.7661523562795,18.91970684088624,19.86989349905035,318.15368376304616,185.1401076402506,99.97754323609396,1.0,0.9999996940467851,0.0,0.4999999985714286,0.49999999857142746,2.0,2.3,100.0,0.3,0.35,0.4,1.1,0.7,highV_moderate_wall,-42826.879857223714,73.33680235960782,0.0,206.94656280601453
-0.35,0,-574.1575695551824,574.1575695551824,-347.3062433984483,623.1421487035967,32.75964197197102,32.360734575711064,356.2252569568794,200.55837962778597,99.53077061872338,1.0,0.9999996940467851,0.0,0.49999999857142907,0.49999999857142746,2.0,2.3,100.0,0.3,0.35,0.4,1.1,0.7,highV_moderate_wall,-41604.77356276153,393.80616156617293,0.0,203.972482366523
0.0,0,-4892.14685596728,4892.14685596728,-1926.9255094473374,3813.769243010372,57.47625474806142,58.66439104979325,2567.6472171154305,1072.6967158991142,99.99998293971507,1.0,1.0,0.0,0.9999999992417439,0.9999999992417439,2.0,2.3,100.0,0.1,0.18,0.1,1.1,1.0,worst_highV_thin_wall,-52899.73413098957,475.0969677293597,0.0,229.99942202316416
0.1,0,-4483.4496409280055,4483.4496409280055,-2480.878592119457,4943.709736297698,49.68276171502344,59.5528908284183,2193.6681961835825,1477.8114737247279,99.99998293978506,1.0,1.0,0.0,0.9999999957896257,0.9999999957896255,2.0,2.3,100.0,0.1,0.18,0.1,1.1,1.0,worst_highV_thin_wall,-52899.734130395904,405.6977492119531,0.0,229.99942202187358
-0.1,0,-4242.0606137905115,4242.0606137905115,-2680.5512167723896,5203.729305852119,55.5766948699275,57.72453140512742,2341.805148384861,1396.1471960838383,99.99998276145894,1.0,1.0,0.0,0.9999999957896257,0.9999999957896255,2.0,2.3,100.0,0.1,0.18,0.1,1.1,1.0,worst_highV_thin_wall,-52899.73390752797,246.03375450649594,0.0,229.99942153737683
0.25,0,-4631.681479244294,4631.681479244294,-2509.36652415182,5004.259985519107,58.56006065175812,59.16845781652842,2511.0475017673784,1280.8049855567158,99.99998293978524,1.0,1.0,0.0,0.9999658841470226,0.9999658841470225,2.0,2.3,100.0,0.1,0.18,0.1,1.1,1.0,worst_highV_thin_wall,-52899.72735313803,335.9440974337806,0.0,229.9994072886668
-0.25,0,-4327.029023829119,4327.029023829119,-2078.754336412963,3717.328819648771,51.33604602191186,51.73723218629396,2266.070683524823,1017.7322672131012,99.99993457971831,1.0,1.0,0.0,0.9999658841470226,0.9999658841470226,2.0,2.3,100.0,0.1,0.18,0.1,1.1,1.0,worst_highV_thin_wall,-52898.38884999125,513.9746446178688,0.0,229.99649747331208
0.35,0,-4923.625276237913,4923.625276237913,-2094.4653634784718,4183.566305863773,56.166604880464426,59.350897250550744,2551.320151048381,1222.528644672585,99.99998293978524,1.0,1.0,0.0,0.49999999571428594,0.4999999957142824,2.0,2.3,100.0,0.1,0.18,0.1,1.1,1.0,worst_highV_thin_wall,-42850.46834147846,435.2071851226751,0.0,207.00354668816294
-0.35,0,-4029.420607856254,4029.420607856254,-2671.4543211848127,4944.17226658962,80.44231481898828,93.66567608817945,2306.631299849561,1706.1636173102181,99.99982477155172,1.0,1.0,0.0,0.49999999571428716,0.4999999957142824,2.0,2.3,100.0,0.1,0.18,0.1,1.1,1.0,worst_highV_thin_wall,-42671.310000456244,515.748731715229,0.0,206.57035121346976
