core_amp,repay_amp,buffer_amp,omega,access_qi_log10_L0max,access_qi_min_sampled_avg,access_positive_sample_fraction,repay_positive_sample_fraction,repay_qi_log10_L0max,access_max_abs_tidal,access_max_abs_rate,access_max_abs_flux,access_min_rho,access_max_rho,access_min_Gkk,repay_min_Gkk,access_quiet_open_fraction,access_open_fraction,failure_mode
0.005,0.0,0.0,8.0,-0.3106285724870472,-0.0450254398257543,0.0,0.0,-0.14927147595346946,0.3214970163598845,0.03999366658354383,0.009123226989190528,-0.046343373958731664,-0.025658366695006193,-2.718458230213758,-0.9495219183715105,1.0,1.0,static-QI-preserved
0.005,0.0,0.0,16.0,-0.31011053839223346,-0.04364037525661021,0.0,0.0,-0.14927321533938318,1.2846465692339237,0.07994638314707168,0.01823711259110017,-0.04634316940332317,-0.025658551048023472,-4.591727987023861,-0.9495248406565208,0.5808383233532934,1.0,transition/marginal
0.005,0.0,0.0,32.0,-0.3079840203960582,-0.04155478036657005,0.0,0.0,-0.14927188030143254,5.1176834661598285,0.15956345110768666,0.03639932728833448,-0.04634340492104649,-0.025658335159087754,-12.247346321830591,-0.94953617658852,0.0,1.0,quiet-window-lost
0.005,0.0,0.0,64.0,-0.2995798628927391,-0.03821100813024453,0.0,0.0,-0.14927110350750972,20.136620859781235,0.3165191341871874,0.07220357774854576,-0.04634297229457539,-0.025658468692947734,-42.28522075163322,-0.9495773830578336,0.0,1.0,quiet-window-lost
0.005,0.06,0.020999999999999998,4.0,-0.3108248211627883,-0.04573586693794207,0.0,0.27650273224043714,-0.3120993942950128,0.08039483341251384,0.019999393159490644,0.004562197443444329,-0.04634337422776761,-0.025658366920011423,-2.264581094926384,-7.675056257610768,1.0,1.0,static-QI-preserved
0.005,0.06,0.020999999999999998,8.0,-0.3106285724870472,-0.0450254398257543,0.0,0.19271402550091074,-0.17283781733344591,0.3214970163598845,0.03999366658354383,0.009123226989190528,-0.046343373958731664,-0.025658366695006193,-2.718458230213758,-12.76817227507184,1.0,1.0,static-QI-preserved
0.005,0.06,0.020999999999999998,16.0,-0.31011053839223346,-0.04364037525661021,0.0,0.22695810564663024,-0.16195088261769294,1.2846465692339237,0.07994638314707168,0.01823711259110017,-0.04634316940332317,-0.025658551048023472,-4.591727987023861,-29.751762020000374,0.5808383233532934,1.0,transition/marginal
0.005,0.06,0.020999999999999998,32.0,-0.3079840203960582,-0.04155478036657005,0.0,0.7715846994535519,0.039965861953429056,5.1176834661598285,0.15956345110768666,0.03639932728833448,-0.04634340492104649,-0.025658335159087754,-12.247346321830591,-101.26369866037645,0.0,1.0,quiet-window-lost
0.005,0.06,0.020999999999999998,64.0,-0.2995798628927391,-0.03821100813024453,0.0,1.0,inf,20.136620859781235,0.3165191341871874,0.07220357774854576,-0.04634297229457539,-0.025658468692947734,-42.28522075163322,-388.4917707164217,0.0,1.0,quiet-window-lost
0.005,0.12,0.041999999999999996,4.0,-0.3108248211627883,-0.04573586693794207,0.0,0.35774134790528234,-0.4299889461801851,0.08039483341251384,0.019999393159490644,0.004562197443444329,-0.04634337422776761,-0.025658366920011423,-2.264581094926384,-14.966982485586056,1.0,1.0,static-QI-preserved
