case,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
v01_open_comp_only,support_mean,5.0,-0.006341742665028613,20.366666666666667,-1.5198177546350666e-05,-0.006326544487482262,below_proxy_bound
v01_open_comp_only,support_mean,10.0,-0.0029613032415308042,40.300000000000004,-9.498860966469166e-07,-0.002960353355434157,below_proxy_bound
v01_open_comp_only,support_mean,20.0,-0.0009349163343815329,80.16666666666667,-5.936788104043229e-08,-0.0009348569665004925,below_proxy_bound
v01_open_comp_only,support_mean,40.0,-0.0006916362139942067,160.33333333333334,-3.710492565027018e-09,-0.0006916325035016417,below_proxy_bound
v01_open_comp_only,support_mean,80.0,,,-2.3190578531418863e-10,,
v01_open_comp_only,shoulder_mean,0.5,-0.009228125140011593,6.066666666666666,-0.15198177546350666,0.14275365032349507,above_proxy_bound
v01_open_comp_only,shoulder_mean,1.0,-0.00916310704269366,5.2,-0.009498860966469166,0.0003357539237755069,above_proxy_bound
v01_open_comp_only,shoulder_mean,2.0,-0.008979566350421861,8.233333333333334,-0.0005936788104043229,-0.00838588754001754,below_proxy_bound
v01_open_comp_only,shoulder_mean,5.0,-0.007340887140723587,20.366666666666667,-1.5198177546350666e-05,-0.007325688963177236,below_proxy_bound
v01_open_comp_only,shoulder_mean,10.0,-0.0038585195763419173,40.300000000000004,-9.498860966469166e-07,-0.00385756969024527,below_proxy_bound
v01_open_comp_only,shoulder_mean,20.0,-0.00124028077809803,80.16666666666667,-5.936788104043229e-08,-0.0012402214102169896,below_proxy_bound
v01_open_comp_only,shoulder_mean,40.0,-0.0005166654680613089,160.33333333333334,-3.710492565027018e-09,-0.0005166617575687439,below_proxy_bound
v01_open_comp_only,shoulder_mean,80.0,,,-2.3190578531418863e-10,,
v01_open_comp_only,matching_mean,0.5,-0.0006170309163431439,356.6333333333333,-0.15198177546350666,0.15136474454716353,above_proxy_bound
v01_open_comp_only,matching_mean,1.0,-0.0006075014832212956,33.36666666666667,-0.009498860966469166,0.00889135948324787,above_proxy_bound
v01_open_comp_only,matching_mean,2.0,-0.0005894330288164893,33.36666666666667,-0.0005936788104043229,4.245781587833568e-06,above_proxy_bound
v01_open_comp_only,matching_mean,5.0,-0.0005424325105464189,33.800000000000004,-1.5198177546350666e-05,-0.0005272343330000682,below_proxy_bound
v01_open_comp_only,matching_mean,10.0,-0.0004690634452845879,40.300000000000004,-9.498860966469166e-07,-0.00046811355918794094,below_proxy_bound
v01_open_comp_only,matching_mean,20.0,-0.00020542746346944863,80.16666666666667,-5.936788104043229e-08,-0.0002053680955884082,below_proxy_bound
v01_open_comp_only,matching_mean,40.0,-8.27079641574748e-05,160.33333333333334,-3.710492565027018e-09,-8.270425366490977e-05,below_proxy_bound
v01_open_comp_only,matching_mean,80.0,,,-2.3190578531418863e-10,,
v02_with_setup_reset_comp,core_line,0.5,-0.0012258188450855827,177.23333333333335,-0.15198177546350666,0.1507559566184211,above_proxy_bound
v02_with_setup_reset_comp,core_line,1.0,-0.0012098051353109382,177.23333333333335,-0.009498860966469166,0.008289055831158229,above_proxy_bound
v02_with_setup_reset_comp,core_line,2.0,-0.001177695167255788,177.23333333333335,-0.0005936788104043229,-0.0005840163568514652,below_proxy_bound
v02_with_setup_reset_comp,core_line,5.0,-0.0010814644196257374,177.23333333333335,-1.5198177546350666e-05,-0.0010662662420793869,below_proxy_bound
v02_with_setup_reset_comp,core_line,10.0,-0.0009261279149971214,176.8,-9.498860966469166e-07,-0.0009251780289004745,below_proxy_bound
v02_with_setup_reset_comp,core_line,20.0,-0.0006595322284673423,174.63333333333333,-5.936788104043229e-08,-0.0006594728605863018,below_proxy_bound
v02_with_setup_reset_comp,core_line,40.0,-0.0003369172217866324,167.70000000000002,-3.710492565027018e-09,-0.0003369135112940674,below_proxy_bound
v02_with_setup_reset_comp,core_line,80.0,,,-2.3190578531418863e-10,,
v02_with_setup_reset_comp,access_mean,0.5,-0.0012898134264236443,153.4,-0.15198177546350666,0.15069196203708302,above_proxy_bound
v02_with_setup_reset_comp,access_mean,1.0,-0.0011687837453495992,176.36666666666667,-0.009498860966469166,0.008330077221119567,above_proxy_bound
v02_with_setup_reset_comp,access_mean,2.0,-0.0011384751421433755,176.36666666666667,-0.0005936788104043229,-0.0005447963317390526,below_proxy_bound
v02_with_setup_reset_comp,access_mean,5.0,-0.0010475252227012545,176.36666666666667,-1.5198177546350666e-05,-0.0010323270451549039,below_proxy_bound
v02_with_setup_reset_comp,access_mean,10.0,-0.0008999998953137037,175.93333333333334,-9.498860966469166e-07,-0.0008990500092170568,below_proxy_bound
v02_with_setup_reset_comp,access_mean,20.0,-0.0006428445371775811,173.76666666666668,-5.936788104043229e-08,-0.0006427851692965406,below_proxy_bound
v02_with_setup_reset_comp,access_mean,40.0,-0.0003194192496749957,167.70000000000002,-3.710492565027018e-09,-0.0003194155391824307,below_proxy_bound
v02_with_setup_reset_comp,access_mean,80.0,,,-2.3190578531418863e-10,,
v02_with_setup_reset_comp,support_mean,0.5,-0.008912688498293185,2.166666666666667,-0.15198177546350666,0.14306908696521348,above_proxy_bound
v02_with_setup_reset_comp,support_mean,1.0,-0.008729728318486884,4.333333333333334,-0.009498860966469166,0.0007691326479822829,above_proxy_bound
v02_with_setup_reset_comp,support_mean,2.0,-0.008175523346743391,8.233333333333334,-0.0005936788104043229,-0.0075818445363390686,below_proxy_bound
v02_with_setup_reset_comp,support_mean,5.0,-0.005135515838851575,20.366666666666667,-1.5198177546350666e-05,-0.005120317661305224,below_proxy_bound
v02_with_setup_reset_comp,support_mean,10.0,-0.0005747727417269727,177.23333333333335,-9.498860966469166e-07,-0.0005738228556303258,below_proxy_bound
v02_with_setup_reset_comp,support_mean,20.0,-0.0002363055860267925,177.23333333333335,-5.936788104043229e-08,-0.00023624621814575205,below_proxy_bound
v02_with_setup_reset_comp,support_mean,40.0,0.0002656378718513566,177.66666666666669,-3.710492565027018e-09,0.0002656415823439216,above_proxy_bound
v02_with_setup_reset_comp,support_mean,80.0,,,-2.3190578531418863e-10,,
v02_with_setup_reset_comp,shoulder_mean,0.5,-0.00916568437155806,2.166666666666667,-0.15198177546350666,0.1428160910919486,above_proxy_bound
v02_with_setup_reset_comp,shoulder_mean,1.0,-0.009068725951507914,4.333333333333334,-0.009498860966469166,0.0004301350149612526,above_proxy_bound
v02_with_setup_reset_comp,shoulder_mean,2.0,-0.008733202553032404,8.233333333333334,-0.0005936788104043229,-0.00813952374262808,below_proxy_bound
v02_with_setup_reset_comp,shoulder_mean,5.0,-0.0063698308738315695,20.366666666666667,-1.5198177546350666e-05,-0.0063546326962852185,below_proxy_bound
v02_with_setup_reset_comp,shoulder_mean,10.0,-0.0014996214986140388,40.300000000000004,-9.498860966469166e-07,-0.0014986716125173919,below_proxy_bound
v02_with_setup_reset_comp,shoulder_mean,20.0,0.00012234518420264304,188.06666666666666,-5.936788104043229e-08,0.00012240455208368349,above_proxy_bound
v02_with_setup_reset_comp,shoulder_mean,40.0,0.00024545692420849957,189.8,-3.710492565027018e-09,0.00024546063470106457,above_proxy_bound
v02_with_setup_reset_comp,shoulder_mean,80.0,,,-2.3190578531418863e-10,,
v02_with_setup_reset_comp,matching_mean,0.5,-0.0006170309163418007,356.6333333333333,-0.15198177546350666,0.15136474454716486,above_proxy_bound
v02_with_setup_reset_comp,matching_mean,1.0,-0.0006075014832199467,33.36666666666667,-0.009498860966469166,0.00889135948324922,above_proxy_bound
v02_with_setup_reset_comp,matching_mean,2.0,-0.0005894330288151294,33.36666666666667,-0.0005936788104043229,4.245781589193483e-06,above_proxy_bound
v02_with_setup_reset_comp,matching_mean,5.0,-0.0005424325105450028,33.800000000000004,-1.5198177546350666e-05,-0.0005272343329986521,below_proxy_bound
v02_with_setup_reset_comp,matching_mean,10.0,-0.000469063445282824,40.300000000000004,-9.498860966469166e-07,-0.00046811355918617705,below_proxy_bound
v02_with_setup_reset_comp,matching_mean,20.0,-0.0002054274634671325,80.16666666666667,-5.936788104043229e-08,-0.00020536809558609206,below_proxy_bound
v02_with_setup_reset_comp,matching_mean,40.0,-8.270796415683555e-05,160.33333333333334,-3.710492565027018e-09,-8.270425366427052e-05,below_proxy_bound
v02_with_setup_reset_comp,matching_mean,80.0,,,-2.3190578531418863e-10,,
