score_name,rank,label,score,pkt_C0,pkt_C_perp,pkt_Rth,pkt_wth,v1_B0,v1_wB,n_J_geom,n_J_dyn,n_J_total
0p1J_geom_plus_J_dyn,2,C20_Cp3_B6_wB10,0.03266612819538691,20.0,3.0,1.25,0.12,6.0,10.0,0.3131102853097127,0.00135509966441564,0.054449705901914495
0p1J_geom_plus_J_dyn,3,C20_Cp3_B6_wB8,0.032667166431626565,20.0,3.0,1.25,0.12,6.0,8.0,0.31310878460035824,0.00135628797159074,0.05445043624630222
0p1J_geom_plus_J_dyn,4,C20_Cp3_B6_wB6,0.03267097201919263,20.0,3.0,1.25,0.12,6.0,6.0,0.3131032654126616,0.001360645477926468,0.05445311166616517
0p1J_geom_plus_J_dyn,5,C35_Cp3_B6_wB12,0.033176815025734926,35.0,3.0,1.25,0.12,6.0,12.0,0.3129693840812069,0.0018798766176142316,0.054861112099578314
0p1J_geom_plus_J_dyn,6,C35_Cp3_B6_wB10,0.03317719027794871,35.0,3.0,1.25,0.12,6.0,10.0,0.31296675924188005,0.0018805143537607017,0.05486119419088532
0p1J_geom_plus_J_dyn,7,C35_Cp3_B6_wB8,0.03317823556031385,35.0,3.0,1.25,0.12,6.0,8.0,0.3129594464101917,0.0018822909192946805,0.05486142275340707
0p1J_geom_plus_J_dyn,8,C35_Cp3_B6_wB6,0.03318206793620264,35.0,3.0,1.25,0.12,6.0,6.0,0.31293261963127433,0.0018888059730752024,0.05486225940451832
0p1J_geom_plus_J_dyn,9,C50_Cp3_B6_wB12,0.03370935888573803,50.0,3.0,1.25,0.12,6.0,12.0,0.3131606579941246,0.002393293086325568,0.055319664903017166
0p1J_geom_plus_J_dyn,10,C50_Cp3_B6_wB10,0.03370993941260581,50.0,3.0,1.25,0.12,6.0,10.0,0.31315808295792297,0.0023941311168135092,0.05531992165870908
0p1J_geom_plus_J_dyn,11,C50_Cp3_B6_wB8,0.0337115565493181,50.0,3.0,1.25,0.12,6.0,8.0,0.31315090884515595,0.002396465664802507,0.05532063679947749
0p1J_geom_plus_J_dyn,12,C50_Cp3_B6_wB6,0.03371748620353365,50.0,3.0,1.25,0.12,6.0,6.0,0.31312459053353964,0.002405027150179684,0.055323257953555374
0p1J_geom_plus_J_dyn,13,C20_Cp3_B5_wB12,0.03423142652360395,20.0,3.0,1.25,0.12,5.0,12.0,0.32388778310708205,0.0018426482128957354,0.0566897218630625
0p1J_geom_plus_J_dyn,14,C20_Cp3_B5_wB10,0.034233898385871826,20.0,3.0,1.25,0.12,5.0,10.0,0.3239067187457116,0.0018432265113006675,0.05669342657538347
0p1J_geom_plus_J_dyn,15,C20_Cp3_B5_wB8,0.03424078577262751,20.0,3.0,1.25,0.12,5.0,8.0,0.3239594835672723,0.001844837415900282,0.05670374943475916
0p1J_geom_plus_J_dyn,16,C20_Cp3_B5_wB6,0.034266061271931644,20.0,3.0,1.25,0.12,5.0,6.0,0.32415317361424556,0.0018507439105070903,0.05674163709352893
0p1J_geom_plus_J_dyn,17,C20_Cp4_B6_wB12,0.03427751369125778,20.0,4.0,1.25,0.12,6.0,12.0,0.32648361352589356,0.0016291523386684297,0.0569546785701862
0p1J_geom_plus_J_dyn,18,C20_Cp4_B6_wB10,0.03428007713064794,20.0,4.0,1.25,0.12,6.0,10.0,0.326503976054626,0.0016296795251853422,0.05695858388714973
0p1J_geom_plus_J_dyn,19,C20_Cp4_B6_wB8,0.03428721960424862,20.0,4.0,1.25,0.12,6.0,8.0,0.32656071492699734,0.0016311481115488784,0.05696946548156362
0p1J_geom_plus_J_dyn,20,C20_Cp4_B6_wB6,0.03431343028377938,20.0,4.0,1.25,0.12,6.0,6.0,0.32676896758048996,0.0016365335257303877,0.057009400942338306
max_norm_metrics,1,C35_Cp3_B6_wB6,0.31293261963127433,35.0,3.0,1.25,0.12,6.0,6.0,0.31293261963127433,0.0018888059730752024,0.05486225940451832
max_norm_metrics,2,C35_Cp3_B6_wB8,0.3129594464101917,35.0,3.0,1.25,0.12,6.0,8.0,0.3129594464101917,0.0018822909192946805,0.05486142275340707
max_norm_metrics,3,C35_Cp3_B6_wB10,0.31296675924188005,35.0,3.0,1.25,0.12,6.0,10.0,0.31296675924188005,0.0018805143537607017,0.05486119419088532
max_norm_metrics,4,C35_Cp3_B6_wB12,0.3129693840812069,35.0,3.0,1.25,0.12,6.0,12.0,0.3129693840812069,0.0018798766176142316,0.054861112099578314
max_norm_metrics,5,C20_Cp3_B6_wB6,0.3131032654126616,20.0,3.0,1.25,0.12,6.0,6.0,0.3131032654126616,0.001360645477926468,0.05445311166616517
max_norm_metrics,6,C20_Cp3_B6_wB8,0.31310878460035824,20.0,3.0,1.25,0.12,6.0,8.0,0.31310878460035824,0.00135628797159074,0.05445043624630222
max_norm_metrics,7,C20_Cp3_B6_wB10,0.3131102853097127,20.0,3.0,1.25,0.12,6.0,10.0,0.3131102853097127,0.00135509966441564,0.054449705901914495
max_norm_metrics,8,C20_Cp3_B6_wB12,0.31311082357155945,20.0,3.0,1.25,0.12,6.0,12.0,0.31311082357155945,0.0013546730882935995,0.05444944364604883
max_norm_metrics,9,C50_Cp3_B6_wB6,0.31312459053353964,50.0,3.0,1.25,0.12,6.0,6.0,0.31312459053353964,0.002405027150179684,0.055323257953555374
max_norm_metrics,10,C50_Cp3_B6_wB8,0.31315090884515595,50.0,3.0,1.25,0.12,6.0,8.0,0.31315090884515595,0.002396465664802507,0.05532063679947749
max_norm_metrics,11,C50_Cp3_B6_wB10,0.31315808295792297,50.0,3.0,1.25,0.12,6.0,10.0,0.31315808295792297,0.0023941311168135092,0.05531992165870908
max_norm_metrics,12,C50_Cp3_B6_wB12,0.3131606579941246,50.0,3.0,1.25,0.12,6.0,12.0,0.3131606579941246,0.002393293086325568,0.055319664903017166
max_norm_metrics,13,C75_Cp3_B6_wB6,0.31331560699953337,75.0,3.0,1.25,0.12,6.0,6.0,0.31331560699953337,0.00324064390166875,0.05604909369765521
max_norm_metrics,14,C75_Cp3_B6_wB8,0.31334140188134546,75.0,3.0,1.25,0.12,6.0,8.0,0.31334140188134546,0.0032288257660200935,0.056043681384406435
max_norm_metrics,15,C75_Cp3_B6_wB10,0.3133484331996147,75.0,3.0,1.25,0.12,6.0,10.0,0.3133484331996147,0.003225603235871545,0.05604220517338657
max_norm_metrics,16,C75_Cp3_B6_wB12,0.31335095697014714,75.0,3.0,1.25,0.12,6.0,12.0,0.31335095697014714,0.0032244464516803053,0.056041675219518555
max_norm_metrics,17,C100_Cp3_B6_wB6,0.31343693522902744,100.0,3.0,1.25,0.12,6.0,6.0,0.31343693522902744,0.004052310883514065,0.056743190015356756
max_norm_metrics,18,C100_Cp3_B6_wB8,0.3134623878583095,100.0,3.0,1.25,0.12,6.0,8.0,0.3134623878583095,0.00403736465743456,0.056735124063982005
max_norm_metrics,19,C100_Cp3_B6_wB10,0.31346932581171755,100.0,3.0,1.25,0.12,6.0,10.0,0.31346932581171755,0.004033289185505786,0.056732924273705104
max_norm_metrics,20,C100_Cp3_B6_wB12,0.31347181606303254,100.0,3.0,1.25,0.12,6.0,12.0,0.31347181606303254,0.004031826224415156,0.05673213457890069
