series,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
combined_flux_completed_Tkk_min,support_mean,40.0,0.0009039649217096356,188.76000000000002,-3.710492565027018e-09,0.0009039686322022006,above_proxy_bound
combined_flux_completed_Tkk_min,support_mean,80.0,,,-2.3190578531418863e-10,,
combined_flux_completed_Tkk_min,support_ring_mean,0.5,-0.030581438747059802,2.34,-0.15198177546350666,0.12140033671644686,above_proxy_bound
combined_flux_completed_Tkk_min,support_ring_mean,1.0,-0.029946276513727686,4.68,-0.009498860966469166,-0.02044741554725852,below_proxy_bound
combined_flux_completed_Tkk_min,support_ring_mean,2.0,-0.028056542297814513,8.58,-0.0005936788104043229,-0.02746286348741019,below_proxy_bound
combined_flux_completed_Tkk_min,support_ring_mean,5.0,-0.01810938849695016,20.28,-1.5198177546350666e-05,-0.01809419031940381,below_proxy_bound
combined_flux_completed_Tkk_min,support_ring_mean,10.0,-0.0013256024572604781,217.62,-9.498860966469166e-07,-0.0013246525711638312,below_proxy_bound
combined_flux_completed_Tkk_min,support_ring_mean,20.0,-0.0002751193554741138,212.16,-5.936788104043229e-08,-0.00027505998759307337,below_proxy_bound
combined_flux_completed_Tkk_min,support_ring_mean,40.0,0.0006245453190420018,197.34,-3.710492565027018e-09,0.0006245490295345668,above_proxy_bound
combined_flux_completed_Tkk_min,support_ring_mean,80.0,,,-2.3190578531418863e-10,,
combined_flux_completed_Tkk_min,shoulder_mean,0.5,-0.0098100280946301,152.88,-0.15198177546350666,0.14217174736887656,above_proxy_bound
combined_flux_completed_Tkk_min,shoulder_mean,1.0,-0.009652422925968055,4.68,-0.009498860966469166,-0.0001535619594988883,below_proxy_bound
combined_flux_completed_Tkk_min,shoulder_mean,2.0,-0.00933471095721025,8.58,-0.0005936788104043229,-0.008741032146805928,below_proxy_bound
combined_flux_completed_Tkk_min,shoulder_mean,5.0,-0.006992178339983587,20.28,-1.5198177546350666e-05,-0.006976980162437236,below_proxy_bound
