phase,zone,target_min,target_max,nmc_min,nmc_max,infra_min,infra_max,infra_mean,nmc_mean
hold,shoulder,-0.00019104014890117954,0.0008278070223420812,-0.003930570321393632,0.004441049221721089,-0.004632089370622267,0.004246325121402883,-2.1321701582888585e-05,-1.5506581097323472e-05
hold,matching,-9.356018272612928e-05,-1.2452259811816845e-05,-1.8205604467438233e-06,-2.070181185177044e-20,-9.356018272612925e-05,-1.0631699365073022e-05,-3.6896888601386186e-05,-1.2493347904857243e-07
R_close,access,-0.0017250279045642242,-2.238758940809049e-05,-0.0024925204600198983,3.3696297989687156e-05,-0.0008236509088993355,0.0007674925554556741,-0.000321561090266176,-0.0007170539804320806
R_close,support,-0.00447071726627291,0.00015173396102179256,-0.00854778033915528,0.0019801529322335818,-0.0040122446848657,0.0048507400659741524,0.00039695145305978553,-0.0022045341633156663
R_close,support_ring,-0.004865547352458388,0.0009428012102169338,-0.011217453121356727,0.012705909971804834,-0.014052039004096739,0.0063864614058662126,-0.0009317816296109122,-0.0013435099485416008
R_close,shoulder,-0.0049699790558777185,0.002135070562566212,-0.017702490378711938,0.0481940747692671,-0.05150020436860006,0.017215650607102694,-0.00014656040170295988,-0.0002270556167517095
R_close,matching,-9.356018272612928e-05,-1.2452259811816845e-05,-2.874540798459334e-06,3.6918366977381308e-06,-9.35601827261293e-05,-9.577719013357511e-06,-3.70748982871201e-05,5.307620668534182e-08
comp,access,1.4074340581785621e-05,0.008306038123740948,0.0,8.61525042367094e-06,5.459090158114681e-06,0.008306038123740948,0.004521645921216437,3.676645948118952e-07
comp,support,-0.0013610717203365933,0.012825523016283136,-0.002481911985085671,8.61525042367094e-06,-0.00020225461969840204,0.012825523016283136,0.005684605753854195,-4.2348763168929516e-05
comp,support_ring,-0.0022406143149773677,0.012825523016283136,-0.006019786035235645,3.3337583855650407e-06,-0.0008710188391211708,0.012825523016283136,0.005503579513625075,-0.00014425943137489768
comp,shoulder,-0.0030930529572415384,0.0023333797702397427,-0.010052914576849339,0.002968813724085307,-0.002679576502806185,0.006959861619607811,0.0004108564402149919,-4.061461236306253e-05
comp,matching,-9.35601856850837e-05,-1.2452259802555451e-05,0.0,1.5311556218258394e-06,-9.35601856850837e-05,-1.2452259802555451e-05,-3.702808903004446e-05,6.266758261115098e-09
B_reset,access,-0.0010787433482688008,0.00046920713505983254,0.0,0.0,-0.0010787433482688008,0.00046920713505983254,-1.5128660503348201e-05,0.0
B_reset,support,-0.04255968884524481,0.018908064824622366,0.0,0.0,-0.04255968884524481,0.018908064824622366,0.002164841727988816,0.0
B_reset,support_ring,-0.07744167869725802,0.018908064824622366,0.0,0.0,-0.07744167869725802,0.018908064824622366,-0.0003279326816921448,0.0
B_reset,shoulder,-0.119332447242205,0.028359623749943802,0.0,0.0,-0.119332447242205,0.028359623749943802,0.00018671320171563798,0.0
B_reset,matching,-0.000754977753284282,-1.2391483524963753e-05,0.0,0.0,-0.000754977753284282,-1.2391483524963753e-05,-0.00023321122053277625,0.0
open_interval,access,-0.0017250279045642242,-2.238758940809049e-05,-0.0024925204600198983,3.559085240422907e-05,-0.0008236509088993355,0.0007674925554556741,-9.471296863914709e-05,-0.0010539447955497108
open_interval,support,-0.00447071726627291,0.00032183473781443055,-0.00854778033915528,0.002607243211415245,-0.0040122446848657,0.0048507400659741524,-0.00019674746635767084,-0.0008060734430360625
open_interval,support_ring,-0.005398219579242913,0.000946660496710364,-0.011217453121356727,0.012705909971804834,-0.014052039004096739,0.0063864614058662126,-0.0011385908453553028,0.00028410480794410347
open_interval,shoulder,-0.0049699790558777185,0.002135070562566212,-0.017702490378711938,0.0481940747692671,-0.05150020436860006,0.017215650607102694,-5.742859616610958e-05,-2.062894899575281e-05
open_interval,matching,-9.35601856850837e-05,-1.2452259811816845e-05,-2.874540798459334e-06,3.6918366977381308e-06,-9.356018568508372e-05,-9.577719013357511e-06,-3.6919685790717823e-05,-1.0213634348584777e-07
setup_reset,access,-0.0010787433482688008,0.00046920713505983264,0.0,1.7753494181899125e-05,-0.0010787433482688008,0.00046920713505983264,-1.5783792629356895e-05,5.259889246994426e-08
setup_reset,support,-0.04255968884524484,0.018908064824622366,-0.0049835907935207235,1.7753494181899125e-05,-0.04255968884524484,0.018908064824622366,0.0021677317053831226,-6.430823550122617e-06
setup_reset,support_ring,-0.07744167869725806,0.018908064824622366,-0.010031926604906089,5.617237482259382e-06,-0.07744167869725806,0.018908064824622366,-0.0003153808943229996,-1.8715425061487086e-05
setup_reset,shoulder,-0.119332447242205,0.028359623749943802,-0.008988515969627261,0.0029147318286444216,-0.119332447242205,0.028359623749943802,0.00018937165735534168,-4.355930713474033e-06
setup_reset,matching,-0.000754977753284282,-1.2391483524963753e-05,0.0,2.697710345106581e-06,-0.000754977753284282,-1.2391483524963753e-05,-0.00023321201731249739,7.967797211618868e-10
