case,comp_kind,amp,TC,core_open_negative,core_comp_positive,core_comp_to_open_neg_ratio,support_open_negative,support_comp_positive,support_comp_to_open_neg_ratio,shoulder_open_negative,shoulder_comp_positive,shoulder_comp_to_open_neg_ratio,access_hold_max_abs_flux,access_hold_max_abs_Rt_over_NR,access_comp_positive,access_comp_negative,access_comp_max_abs_flux,access_comp_max_abs_Rt_over_NR,shoulder_max_abs_flux_compensation,access_max_abs_flux_compensation
lapse_N_core_amp_+0.70,lapse_N_core,0.7,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.0,4.127756054282574e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_ring_amp_0.002,explicit_source_ring,0.002,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.02220874828838755,0.32367123811610987,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_ring_amp_0.004,explicit_source_ring,0.004,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.05136237868307533,0.7485574821716571,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_ring_amp_0.008,explicit_source_ring,0.008,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.11067492999815844,1.612981116979402,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_ring_amp_0.012,explicit_source_ring,0.012,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.1702708166320373,2.4815340927227907,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_ring_amp_0.020,explicit_source_ring,0.02,30,0.09266416617562187,0.0,0.0,0.10371697060045554,0.0,0.0,0.06861514300019655,0.2899034222034721,4.225064752873016,5.729429691260389e-07,5.843229383333215e-06,0.0,4.1198357252685465e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_core_amp_0.002,explicit_source_core,0.002,30,0.09266416617562187,0.029999735317251905,0.323746886799746,0.10371697060045554,0.029999735317251905,0.28924615849819413,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.029999735317251905,1.0705062952943897e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_core_amp_0.004,explicit_source_core,0.004,30,0.09266416617562187,0.059999564009096236,0.6474947812661692,0.10371697060045554,0.059999564009096236,0.57849321727907,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.059999564009096236,1.0705062952943897e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_core_amp_0.008,explicit_source_core,0.008,30,0.09266416617562187,0.11999922139278486,1.2949905701990152,0.10371697060045554,0.11999922139278486,1.1569873348408213,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.11999922139278486,1.0705062952943897e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_core_amp_0.012,explicit_source_core,0.012,30,0.09266416617562187,0.17999887877647353,1.9424863591318615,0.10371697060045554,0.17999887877647353,1.7354814524025728,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.17999887877647353,1.0705062952943897e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_core_amp_0.020,explicit_source_core,0.02,30,0.09266416617562187,0.2999981935438507,3.237477936997553,0.10371697060045554,0.2999981935438507,2.892469687526075,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.2999981935438507,1.0705062952943897e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_core_amp_0.008_TC10,explicit_source_core,0.008,10,0.09266416617562187,0.03999381383340468,0.43159956522574605,0.10371697060045554,0.03999381383340468,0.38560530260251374,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.03999381383340468,1.0705062952943897e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_core_amp_0.008_TC20,explicit_source_core,0.008,20,0.09266416617562187,0.07999839681112392,0.8633153473750237,0.10371697060045554,0.07999839681112392,0.7713144372418891,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.07999839681112392,1.0705062952943897e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_core_amp_0.008_TC30,explicit_source_core,0.008,30,0.09266416617562187,0.11999922139278486,1.2949905701990152,0.10371697060045554,0.11999922139278486,1.1569873348408213,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.11999922139278486,1.0705062952943897e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
explicit_source_core_amp_0.008_TC60,explicit_source_core,0.008,60,0.09266416617562187,0.2399996407313461,2.589994068219278,0.10371697060045554,0.2399996407313461,2.31398621982401,0.06861514300019655,0.0,0.0,5.729429691260389e-07,5.843229383333215e-06,0.2399996407313461,1.0705062952943897e-06,5.84289446327629e-07,5.958947827496663e-06,2.4264889578279692e-06,5.84289446327629e-07
