setup_support_amp,setup_shoulder_amp,access_setup_reset_pos_overlay,access_setup_reset_neg_total,support_setup_reset_neg_total,support_setup_reset_pos_overlay,shoulder_setup_reset_neg_total,shoulder_setup_reset_pos_overlay,support_setup_reset_ratio,shoulder_setup_reset_ratio,support_full_ratio,shoulder_full_ratio,core_full_ratio,access_leakage_fraction_vs_support_setup,ledger_balance_error,passes_setup_reset_ledger,score
0.015,0.011,0.0365170989070818,0.005277924150256075,0.42511237084856074,1.207987819004146,0.5223658078264146,0.8914578081288855,2.841572962444955,1.7065776411328988,2.679989814149147,1.757122403463572,1.0833836444524496,0.030229691336776995,3.4957388423847626,True,-3.5574982250583167
0.015,0.012,0.036517099106711234,0.005277924142892732,0.4251100892746816,1.208018573399254,0.5128524279269712,0.9724986882766704,2.84166055776366,1.8962544297736068,2.6800665018327914,1.9510442200785838,1.0833836444543408,0.03022892189807597,3.7697192149052063,True,-3.8315270587013583
0.015,0.013000000000000001,0.03651709930634067,0.005277924135529387,0.42510780770080236,1.2080493277943618,0.5039367524448829,1.0535395684244553,2.841748154022622,2.0906186407582608,2.6801431902443,2.149828041203167,1.0833836444562321,0.030228152498551535,4.125106595250191,True,-4.186962900247295
0.015,0.014,0.03651709950597011,0.005277924128166043,0.4251055261269233,1.2080800821894697,0.4955549683290313,1.13458044857224,2.8418357512218546,2.28951482899656,2.6802198793836842,2.353317302291626,1.0833836444581235,0.030227383138200687,4.566991335846054,True,-4.6288961021224555
0.02,0.008,0.048689463878579475,0.004887052848572521,0.3985236529182833,1.6104453960381417,0.5555755076445932,0.6483378765199485,4.041028391276834,1.1669662675891304,3.7229968214904714,1.2058095486509652,1.083404262718895,0.030233539118035568,8.77525226564586,True,-8.83711934388193
0.02,0.009000000000000001,0.04868946407820892,0.004887052842924082,0.3985218534884323,1.6104761504332497,0.5435974883047787,0.7293787566677333,4.04112380873485,1.3417625584369723,3.7230792857362704,1.3843345202329491,1.08340426272068,0.030232961888389632,8.836773847655856,True,-8.898689771432634
0.02,0.01,0.04868946427783835,0.004887052837275645,0.39852005405858126,1.6105069048283576,0.5325780682805433,0.8104196368155181,4.04121922705454,1.521691720111569,3.7231617506354966,1.5681638096490793,1.0834042627224645,0.030232384680789356,8.963910886292606,True,-9.025875655654184
0.02,0.011,0.0486894644774678,0.0048870528316272074,0.39851825462873014,1.6105376592234655,0.522365476609262,0.8914605169633029,4.041314646235916,1.70658390893265,3.7232442161881556,1.7571288105999343,1.0834042627242493,0.030231807495233493,9.161991828944668,True,-9.224005443935136
0.02,0.012,0.04868946467709723,0.004887052825978769,0.39851645519887907,1.6105684136185734,0.5128521196536511,0.9725013971110879,4.0414100662789885,1.8962608515059933,3.723326682394257,1.9510507867413585,1.083404262726034,0.030231230331720753,9.436231358359812,True,-9.498293819023253
0.02,0.013000000000000001,0.048689464876726665,0.004887052820330332,0.398514655769028,1.6105991680136815,0.5039364617608032,1.0535422772588727,4.041505487183769,2.0906252220323394,3.7234091492538086,2.1498347734811167,1.0834042627278189,0.0302306531902499,9.791878090027485,True,-9.853989396407984
